"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003131558","平成20年　地方公共団体別給与等の比較","(1)ラスパイレス指数 市区町村","-","200801-200812","2016-03-31","0","該当なし","1794","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(1)ラスパイレス指数","市区町村",""
"0003131560","平成20年　地方公共団体別給与等の比較","(2)平均年齢・平均給与月額等 市区町村","-","200801-200812","2016-03-31","0","該当なし","35880","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(2)平均年齢・平均給与月額等","市区町村",""
"0003131595","平成20年　地方公共団体別給与等の比較","(1)ラスパイレス指数 政令指定都市","-","200801-200812","2016-03-31","0","該当なし","17","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(1)ラスパイレス指数","政令指定都市",""
"0003131596","平成20年　地方公共団体別給与等の比較","(2)平均年齢・平均給与月額等 都道府県","-","200801-200812","2016-03-31","0","該当なし","1175","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(2)平均年齢・平均給与月額等","都道府県",""
"0003131613","平成20年　地方公共団体別給与等の比較","(1)ラスパイレス指数 都道府県","-","200801-200812","2016-03-31","0","該当なし","47","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(1)ラスパイレス指数","都道府県",""
"0003131615","平成20年　地方公共団体別給与等の比較","(2)平均年齢・平均給与月額等 政令指定都市","-","200801-200812","2016-03-31","0","該当なし","340","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(2)平均年齢・平均給与月額等","政令指定都市",""
"0003131704","平成20年　地方公共団体別給与等の比較","(4)職員１人当たり諸手当月額の内訳（特殊勤務手当を含む） 政令指定都市","-","200801-200812","2016-03-31","0","該当なし","1496","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(4)職員１人当たり諸手当月額の内訳（特殊勤務手当を含む）","政令指定都市",""
"0003131705","平成20年　地方公共団体別給与等の比較","(5)期末・勤勉手当の支給状況 政令指定都市","-","200801-200812","2016-03-31","0","該当なし","272","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(5)期末・勤勉手当の支給状況","政令指定都市",""
"0003131706","平成20年　地方公共団体別給与等の比較","(6)退職手当の支給状況 政令指定都市","-","200801-200812","2016-03-31","0","該当なし","136","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(6)退職手当の支給状況","政令指定都市",""
"0003131723","平成20年　地方公共団体別給与等の比較","(3)地域手当支給率等 政令指定都市","-","200801-200812","2016-03-31","0","該当なし","85","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(3)地域手当支給率等","政令指定都市",""
"0003131733","平成20年　地方公共団体別給与等の比較","(3)地域手当支給率等 都道府県","-","200801-200812","2016-03-31","0","該当なし","235","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(3)地域手当支給率等","都道府県",""
"0003131738","平成20年　地方公共団体別給与等の比較","(3)地域手当支給率等 市区町村","-","200801-200812","2016-03-31","0","該当なし","8947","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(3)地域手当支給率等","市区町村",""
"0003131741","平成20年　地方公共団体別給与等の比較","(4)職員１人当たり諸手当月額の内訳（特殊勤務手当を含む） 市区町村","-","200801-200812","2016-03-31","0","該当なし","157872","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(4)職員１人当たり諸手当月額の内訳（特殊勤務手当を含む）","市区町村",""
"0003131757","平成20年　地方公共団体別給与等の比較","(4)職員１人当たり諸手当月額の内訳（特殊勤務手当を含む） 都道府県","-","200801-200812","2016-03-31","0","該当なし","5170","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(4)職員１人当たり諸手当月額の内訳（特殊勤務手当を含む）","都道府県",""
"0003131759","平成20年　地方公共団体別給与等の比較","(6)退職手当の支給状況 都道府県","-","200801-200812","2016-03-31","0","該当なし","470","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(6)退職手当の支給状況","都道府県",""
"0003131760","平成20年　地方公共団体別給与等の比較","(6)退職手当の支給状況 市区町村","-","200801-200812","2016-03-31","0","該当なし","14352","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(6)退職手当の支給状況","市区町村",""
"0003131761","平成20年　地方公共団体別給与等の比較","(7)技能労務職員等の平均給与月額・各種手当の支給状況 都道府県","-","200801-200812","2016-03-31","0","該当なし","9917","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(7)技能労務職員等の平均給与月額・各種手当の支給状況","都道府県",""
"0003131763","平成20年　地方公共団体別給与等の比較","(7)技能労務職員等の平均給与月額・各種手当の支給状況 政令指定都市","-","200801-200812","2016-03-31","0","該当なし","3723","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(7)技能労務職員等の平均給与月額・各種手当の支給状況","政令指定都市",""
"0003131765","平成20年　地方公共団体別給与等の比較","(7)技能労務職員等の平均給与月額・各種手当の支給状況 市区町村","-","200801-200812","2016-03-31","0","該当なし","376740","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(7)技能労務職員等の平均給与月額・各種手当の支給状況","市区町村",""
"0003131773","平成20年　地方公共団体別給与等の比較","(5)期末・勤勉手当の支給状況 都道府県","-","200801-200812","2016-03-31","0","該当なし","940","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(5)期末・勤勉手当の支給状況","都道府県",""
"0003131774","平成20年　地方公共団体別給与等の比較","(5)期末・勤勉手当の支給状況 市区町村","-","200801-200812","2016-03-31","0","該当なし","28704","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(5)期末・勤勉手当の支給状況","市区町村",""
"0003131911","平成20年　地方公共団体別給与等の比較","(8)知事（市区町村長）・副知事（副市区町村長）・出納長（収入役）の平均給料月額 政令指定都市","-","200801-200812","2016-03-31","0","該当なし","51","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(8)知事（市区町村長）・副知事（副市区町村長）・出納長（収入役）の平均給料月額","政令指定都市",""
"0003131926","平成20年　地方公共団体別給与等の比較","(8)知事（市区町村長）・副知事（副市区町村長）・出納長（収入役）の平均給料月額 都道府県","-","200801-200812","2016-03-31","0","該当なし","141","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(8)知事（市区町村長）・副知事（副市区町村長）・出納長（収入役）の平均給料月額","都道府県",""
"0003131958","平成20年　地方公共団体別給与等の比較","(8)知事（市区町村長）・副知事（副市区町村長）・出納長（収入役）の平均給料月額 市区町村","-","200801-200812","2016-03-31","0","該当なし","5382","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成20年　地方公共団体別給与等の比較","(8)知事（市区町村長）・副知事（副市区町村長）・出納長（収入役）の平均給料月額","市区町村",""
"0003131977","平成25年　地方公共団体別給与等の比較","(1)ラスパイレス指数及び平均年齢・平均給与月額等 都道府県 ラスパイレス指数及び平均年齢・平均給与月額等（一般行政職）","-","201301-201312","2016-03-31","0","該当なし","517","2016-03-31","","00200211","地方公務員給与実態調査","00200","総務省","13","行財政","03","公務員","平成25年　地方公共団体別給与等の比較","(1)ラスパイレス指数及び平均年齢・平均給与月額等","都道府県","ラスパイレス指数及び平均年齢・平均給与月額等（一般行政職）"
