"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003234480","国民健康・栄養調査","年次","201901-201912","2021-08-11","0","該当なし","38128","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","1-1","栄養素等摂取量 - エネルギー・栄養素等，年齢階級別，平均値，標準偏差，中央値 - 総数・男性・女性，１歳以上","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","栄養素等摂取量 - エネルギー・栄養素等，年齢階級別，平均値，標準偏差，中央値 - 総数・男性・女性，１歳以上","注）2012年、2014年、2016年、2017年の平均値、標準偏差、中央値は全国補正値である。<br>強化食品及び補助食品からの摂取については把握しなかった。<br>＊（ビタミンＡ） RE：レチノール当量、RAE：レチノール活性当量<br>＊（ビタミンＥ） α-トコフェロール量（α-トコフェロール以外のビタミンEは含んでいない）<br>＊（ナイアシン） NE：ナイアシン当量<br>＊ 食塩相当量＝ナトリウム量（mg)×2.54/1,000 で算出。<br>＊（脂肪エネルギー比率、炭水化物エネルギー比率、動物性たんぱく質比率、穀類エネルギー比率） これらの比率は個々人の計算値を平均したものである。<br>＊ 炭水化物エネルギー比率＝100－たんぱく質エネルギー比率－脂肪エネルギー比率 で算出。",""
"0003234489","国民健康・栄養調査","年次","201101-201112","2020-03-01","0","該当なし","12873","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","1-1","栄養素等摂取量　（総数・男性・女性，年齢階級別）","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","栄養素等摂取量　（総数・男性・女性，年齢階級別）","＊（ビタミンＡ） RE：レチノール当量<br>＊（ビタミンＥ） α-トコフェロール量（α-トコフェロール以外のビタミンEは含んでいない）<br>＊（ナイアシン） NE：ナイアシン当量<br>＊（脂肪エネルギー比率、炭水化物エネルギー比率、動物性たんぱく質比率） これらの比率は個々人の計算値を平均したものである。",""
"0003234490","国民健康・栄養調査","年次","201101-201112","2020-03-01","0","該当なし","5792","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","1-1","栄養素等摂取量　（総数・男性・女性，年齢階級別 ＜再掲＞）","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","栄養素等摂取量　（総数・男性・女性，年齢階級別 ＜再掲＞）","＊（ビタミンＡ） RE：レチノール当量<br>＊（ビタミンＥ） α-トコフェロール量（α-トコフェロール以外のビタミンEは含んでいない）<br>＊（ナイアシン） NE：ナイアシン当量<br>＊（脂肪エネルギー比率、炭水化物エネルギー比率、動物性たんぱく質比率） これらの比率は個々人の計算値を平均したものである。",""
"0003234487","国民健康・栄養調査","年次","201201-201212","2020-03-01","0","該当なし","4484","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","1-2","栄養素等摂取量 - エネルギー・栄養素等、年齢階級別、平均値、標準偏差、中央値 - 全国補正値、総数・男性・女性、１歳以上［年齢階級２］","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","栄養素等摂取量 - エネルギー・栄養素等、年齢階級別、平均値、標準偏差、中央値 - 全国補正値、総数・男性・女性、１歳以上［年齢階級２］","注）平均値、標準偏差、中央値は全国補正値である。<br>　　強化食品及び補助食品からの摂取については把握しなかった。<br>＊（ビタミンＡ） RE：レチノール当量<br>＊（ビタミンＥ） α-トコフェロール量（α-トコフェロール以外のビタミンEは含んでいない）<br>＊（ナイアシン） NE：ナイアシン当量<br>＊（脂肪エネルギー比率、炭水化物エネルギー比率、動物性たんぱく質比率） これらの比率は個々人の計算値を平均したものである。",""
"0003224157","国民健康・栄養調査","年次","201901-201912","2021-08-11","0","該当なし","19386","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","10","朝，昼，夕別にみた１日の食事状況 - 朝・昼・夕別，食事状況，年齢階級別，人数，割合　- 総数・男性・女性，１歳以上","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","朝，昼，夕別にみた１日の食事状況 - 朝・昼・夕別，食事状況，年齢階級別，人数，割合　- 総数・男性・女性，１歳以上","注）2012年、2016年の割合は全国補正値であり、単なる人数比とは異なる。",""
"0003224291","国民健康・栄養調査","年次","201501-201512","2020-03-01","0","該当なし","504","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","100","受動喫煙防止対策の推進を望む場所 -場所、年齢階級別、人数、割合 - 総数・男性・女性、20歳以上","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","受動喫煙防止対策の推進を望む場所 -場所、年齢階級別、人数、割合 - 総数・男性・女性、20歳以上","注１）生活習慣調査票の問14に回答した者を集計対象とした。<br>注２）複数回答のため、内訳合計が100％にならない。<br><br>　問14：あなたが、受動喫煙の防止対策が今よりも推進されることを望む場所はありますか。<br>　　　　あてはまる番号をすべて選んで○印をつけて下さい。",""
"0003224719","国民健康・栄養調査","年次","201001-201012","2020-03-01","0","該当なし","126","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","100","疾病予防を目的とした生活習慣改善の取組状況（性・年齢階級別）","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","疾病予防を目的とした生活習慣改善の取組状況（性・年齢階級別）","問26：あなたは現在高血圧や糖尿病、高コレステロール、内臓脂肪症候群（メタボリックシンドローム）等の予防・改善を目的とした生活習慣の改善に取り組んでいますか。<br>　　　　あてはまる番号を１つ選んで○印をつけて下さい。",""
"0003446669","国民健康・栄養調査","年次","201901-201912","2022-01-31","0","該当なし","288","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","100","食べ方や食事中の様子 - 食べ方や食事中の様子，年齢階級別，人数，割合 - 総数・男性・女性，20歳以上","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","食べ方や食事中の様子 - 食べ方や食事中の様子，年齢階級別，人数，割合 - 総数・男性・女性，20歳以上","注）生活習慣調査票の問18に回答した者を集計対象とした。",""
"0003224941","国民健康・栄養調査","年次","201701-201712","2020-03-01","0","該当なし","240","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","100-1","収縮期(最高）血圧の平均値の年次推移 （性・年齢階級別）","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","収縮期(最高）血圧の平均値の年次推移 （性・年齢階級別）","注１） 血圧を下げる薬の使用者含む。<br>注２） 数値は２回の測定値の平均値を用いた。なお、１回しか測定できなかった者については、その値を採用した。<br>注３） 2012年、2016年は抽出率等を考慮した全国補正値である。<br>注４） 年齢調整値は、2010年国勢調査による基準人口（20-29歳、30-39歳、40-49歳、50-59歳、60-69歳、70歳以上の６区分）を用いて算出した。",""
"0003224942","国民健康・栄養調査","年次","201701-201712","2020-03-01","0","該当なし","210","2023-03-07","","00450171","国民健康・栄養調査","00450","厚生労働省","100-2","拡張期(最低）血圧の平均値の年次推移 （性・年齢階級別）","15","社会保障・衛生","04","保健衛生","国民健康・栄養調査","拡張期(最低）血圧の平均値の年次推移 （性・年齢階級別）","注１） 血圧を下げる薬の使用者含む。<br>注２） 数値は２回の測定値の平均値を用いた。<br>注３） 2012年、2016年は抽出率等を考慮した全国補正値である。<br>注４） 年齢調整値は、2010年国勢調査による基準人口（20-29歳、30-39歳、40-49歳、50-59歳、60-69歳、70歳以上の６区分）を用いて算出した。",""
