"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_CATEGORY"
"0003414037","2019年経済構造実態調査（甲調査） 一次集計 企業等に関する集計","-","201901-201912","2020-03-31","0","全国","3414","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00101","企業産業（小分類）、経営組織別企業等数及び売上（収入）金額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","一次集計","企業等に関する集計","企業産業（小分類）、経営組織別企業等数及び売上（収入）金額",""
"0003414933","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","34140","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00201","企業産業（小分類）、経営組織別企業等数、売上（収入）金額、年間商品販売額、費用総額、主な費用項目及び付加価値額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","企業産業（小分類）、経営組織別企業等数、売上（収入）金額、年間商品販売額、費用総額、主な費用項目及び付加価値額",""
"0003414953","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","7000","2025-07-29","","00200555","経済構造実態調査","00200","総務省","002021","企業産業（中分類）、資本金階級別企業等数、売上（収入）金額、費用総額、主な費用項目及び付加価値額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","企業産業（中分類）、資本金階級別企業等数、売上（収入）金額、費用総額、主な費用項目及び付加価値額",""
"0003414973","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","6300","2025-07-29","","00200555","経済構造実態調査","00200","総務省","002022","企業産業（中分類）、売上（収入）金額階級別企業等数、売上（収入）金額、費用総額、主な費用項目及び付加価値額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","企業産業（中分類）、売上（収入）金額階級別企業等数、売上（収入）金額、費用総額、主な費用項目及び付加価値額",""
"0003414934","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","32433","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00203","企業産業（小分類）、電子商取引の有無別企業等数、売上（収入）金額、費用総額、主な費用項目、付加価値額及び一般消費者と行った電子商取引の額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","企業産業（小分類）、電子商取引の有無別企業等数、売上（収入）金額、費用総額、主な費用項目、付加価値額及び一般消費者と行った電子商取引の額",""
"0003414954","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","2400","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00204","企業産業（小分類）、経営組織別卸売業，小売業の企業等数、年間商品販売額、年間商品仕入額及び年初・年末商品手持額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","企業産業（小分類）、経営組織別卸売業，小売業の企業等数、年間商品販売額、年間商品仕入額及び年初・年末商品手持額",""
"0003414974","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","6","2025-07-29","","00200555","経済構造実態調査","00200","総務省","002051","経営組織別企業等数","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","経営組織別企業等数",""
"0003414935","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","1584","2025-07-29","","00200555","経済構造実態調査","00200","総務省","002052","経営組織別事業活動産業（小分類）別売上（収入）金額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","経営組織別事業活動産業（小分類）別売上（収入）金額",""
"0003414955","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","19","2025-07-29","","00200555","経済構造実態調査","00200","総務省","002061","資本金階級・売上（収入）金額階級別企業等数","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","資本金階級・売上（収入）金額階級別企業等数",""
"0003414975","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","1121","2025-07-29","","00200555","経済構造実態調査","00200","総務省","002062","資本金階級・売上（収入）金額階級別事業活動産業（中分類）別売上（収入）金額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","資本金階級・売上（収入）金額階級別事業活動産業（中分類）別売上（収入）金額",""
"0003414936","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","100","2025-07-29","","00200555","経済構造実態調査","00200","総務省","002071","企業産業（中分類）別企業等数","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","企業産業（中分類）別企業等数",""
"0003414956","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計1","-","201901-201912","2020-07-31","0","全国","5900","2025-07-29","","00200555","経済構造実態調査","00200","総務省","002072","企業産業（中分類）別事業活動産業（中分類）別売上（収入）金額","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計1","企業産業（中分類）別事業活動産業（中分類）別売上（収入）金額",""
"0003414957","2019年経済構造実態調査（甲調査） 二次集計 企業等に関する集計2","-","201901-201912","2020-07-31","0","全国","6216","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00301","事業区分（中分類、一部小分類）別費用内訳割合","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","二次集計","企業等に関する集計2","事業区分（中分類、一部小分類）別費用内訳割合",""
"0003417693","2019年経済構造実態調査（甲調査） 三次集計 事業所に関する集計1","-","201901-201912","2020-10-30","0","全国","912","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00401","産業（大分類）別売上（収入）金額―全国、都道府県","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","三次集計","事業所に関する集計1","産業（大分類）別売上（収入）金額―全国、都道府県",""
"0003417693","2019年経済構造実態調査（甲調査） 三次集計 事業所に関する集計1","-","201901-201912","2020-10-30","0","都道府県","912","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00401","産業（大分類）別売上（収入）金額―全国、都道府県","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","三次集計","事業所に関する集計1","産業（大分類）別売上（収入）金額―全国、都道府県",""
"0003417694","2019年経済構造実態調査（甲調査） 三次集計 事業所に関する集計2","-","201901-201912","2020-10-30","0","全国","410","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00501","産業（小分類）別卸売業，小売業の年間商品販売額、本支店間移動の額及び売場面積","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","三次集計","事業所に関する集計2","産業（小分類）別卸売業，小売業の年間商品販売額、本支店間移動の額及び売場面積",""
"0003417695","2019年経済構造実態調査（甲調査） 三次集計 事業所に関する集計2","-","201901-201912","2020-10-30","0","全国","720","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00502","卸売業，小売業別の年間商品販売額、本支店間移動の額及び売場面積―全国、都道府県","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","三次集計","事業所に関する集計2","卸売業，小売業別の年間商品販売額、本支店間移動の額及び売場面積―全国、都道府県",""
"0003417695","2019年経済構造実態調査（甲調査） 三次集計 事業所に関する集計2","-","201901-201912","2020-10-30","0","都道府県","720","2025-07-29","","00200555","経済構造実態調査","00200","総務省","00502","卸売業，小売業別の年間商品販売額、本支店間移動の額及び売場面積―全国、都道府県","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（甲調査）","三次集計","事業所に関する集計2","卸売業，小売業別の年間商品販売額、本支店間移動の額及び売場面積―全国、都道府県",""
"0003448579","2019年経済構造実態調査（乙調査） 調査対象及び調査事項、統計表","-","201901-201912","2020-07-31","0","該当なし","689","2025-02-20","","00200555","経済構造実態調査","00200","総務省","01-01","【01ソフトウェア業】統計表データ　全規模の部 第１表　事業所数、従業者数、事業従事者数、年間売上高、１事業所当たり及び１人当たりの年間売上高","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（乙調査）","調査対象及び調査事項、統計表","","第１表　事業所数、従業者数、事業従事者数、年間売上高、１事業所当たり及び１人当たりの年間売上高","【01ソフトウェア業】統計表データ　全規模の部"
"0003448580","2019年経済構造実態調査（乙調査） 調査対象及び調査事項、統計表","-","201901-201912","2020-07-31","0","該当なし","750","2025-02-20","","00200555","経済構造実態調査","00200","総務省","01-02","【01ソフトウェア業】統計表データ　全規模の部 第２表　経営組織別の事業所数、従業者数及び年間売上高","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（乙調査）","調査対象及び調査事項、統計表","","第２表　経営組織別の事業所数、従業者数及び年間売上高","【01ソフトウェア業】統計表データ　全規模の部"
"0003448581","2019年経済構造実態調査（乙調査） 調査対象及び調査事項、統計表","-","201901-201912","2020-07-31","0","該当なし","1378","2025-02-20","","00200555","経済構造実態調査","00200","総務省","01-03","【01ソフトウェア業】統計表データ　全規模の部 第３表　雇用形態別の男女別の従業者数、別経営の事業所から派遣されている人及びソフトウェア業務の事業従事者数","07","企業・家計・経済","01","企業活動","2019年経済構造実態調査（乙調査）","調査対象及び調査事項、統計表","","第３表　雇用形態別の男女別の従業者数、別経営の事業所から派遣されている人及びソフトウェア業務の事業従事者数","【01ソフトウェア業】統計表データ　全規模の部"
