"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003366529","所得再分配調査","年次","0","2024-02-28","0","全国","670","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","1","所得再分配による所得階級別の世帯分布の変化","15","社会保障・衛生","01","社会保障","所得再分配調査","所得再分配による所得階級別の世帯分布の変化","","",""
"0003371230","所得再分配調査","年次","0","2024-02-28","0","全国","595","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","10","世帯員の年齢階級別ジニ係数（等価所得）","15","社会保障・衛生","01","社会保障","所得再分配調査","世帯員の年齢階級別ジニ係数（等価所得）","「総数」には年齢不詳を含む。<br>等価可処分所得＝等価当初所得＋社会保障給付金－社会保険料－税金<br>等価再分配所得＝等価可処分所得＋現物給付<br>再分配による改善度＝１－等価再分配所得／等価当初所得<br>社会保障による改善度＝１－（等価当初所得＋社会保障給付金－社会保険料）／等価当初所得×等価再分配所得／等価可処分所得<br>税による改善度＝１－等価可処分所得／（等価当初所得＋社会保障給付金－社会保険料）","",""
"0003375350","所得再分配調査","年次","0","2024-02-28","0","全国","2200","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","2","当初所得階級別所得再分配状況","15","社会保障・衛生","01","社会保障","所得再分配調査","当初所得階級別所得再分配状況","再分配係数＝（再分配所得－当初所得）／当初所得","",""
"0003375351","所得再分配調査","年次","0","2024-02-28","0","全国","460","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","3","世帯類型別所得再分配状況","15","社会保障・衛生","01","社会保障","所得再分配調査","世帯類型別所得再分配状況","「その他の世帯」は、2008年以前においては、「一般世帯」と表記。<br>再分配係数＝（再分配所得－当初所得）/当初所得","",""
"0003375352","所得再分配調査","年次","0","2024-02-28","0","全国","1380","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","4","世帯主の年齢階級別所得再分配状況","15","社会保障・衛生","01","社会保障","所得再分配調査","世帯主の年齢階級別所得再分配状況","再分配係数＝（再分配所得－当初所得）/当初所得","",""
"0003375353","所得再分配調査","年次","0","2024-02-28","0","全国","805","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","5","世帯構造別所得再分配状況","15","社会保障・衛生","01","社会保障","所得再分配調査","世帯構造別所得再分配状況","再分配係数＝（再分配所得－当初所得）/当初所得","",""
"0003375354","所得再分配調査","年次","0","2024-02-28","0","全国","805","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","6","世帯人員別所得再分配状況","15","社会保障・衛生","01","社会保障","所得再分配調査","世帯人員別所得再分配状況","再分配係数＝（再分配所得－当初所得）/当初所得","",""
"0003371194","所得再分配調査","年次","0","2024-02-28","0","全国","550","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","7","所得再分配による所得階級別の世帯員分布の変化（等価所得）","15","社会保障・衛生","01","社会保障","所得再分配調査","所得再分配による所得階級別の世帯員分布の変化（等価所得）","","",""
"0003371250","所得再分配調査","年次","0","2024-02-28","0","全国","630","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","8","当初所得階級別所得再分配状況（等価所得）","15","社会保障・衛生","01","社会保障","所得再分配調査","当初所得階級別所得再分配状況（等価所得）","再分配係数＝（等価再分配所得－等価当初所得）／等価当初所得","",""
"0003371231","所得再分配調査","年次","0","2024-02-28","0","全国","595","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","9","世帯員の年齢階級別所得再分配状況（等価所得）","15","社会保障・衛生","01","社会保障","所得再分配調査","世帯員の年齢階級別所得再分配状況（等価所得）","１：「総数」には年齢不詳を含む。<br>２：主に高齢者を対象に給付される年金や介護、子どもを対象に行われる保育についても、給付が一旦世帯に帰属し、同一世帯内の者に均等に分けられる計算となっているため、それぞれの年齢階級において当該年齢に係る社会保障給付を反映した金額とはなっていないことに留意が必要。<br>再分配係数＝（等価再分配所得－等価当初所得）／等価当初所得","",""
"0004013200","所得再分配調査","年次","0","2024-02-28","0","全国","180","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","","","15","社会保障・衛生","01","社会保障","所得再分配調査","閲覧表","","閲覧表 第１表","第１表"
"0004013201","所得再分配調査","年次","0","2024-02-28","0","全国","170","2024-02-28","","00450422","所得再分配調査","00450","厚生労働省","","","15","社会保障・衛生","01","社会保障","所得再分配調査","閲覧表","","閲覧表 第２表","第２表"
