"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003302747","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","18","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","1","調査対象客体数及び回答数","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","調査対象客体数及び回答数",""
"0003302756","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","48","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","10","医療機器販売業関係従業者数","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","医療機器販売業関係従業者数",""
"0003302757","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","208","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","11","売上高調査対象集中度","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","売上高調査対象集中度","・2017年度、2015年度：医療機器の販売先状況等（売上高）に記入の無い企業(4社）を除く。・2016年度、2015年度：医療機器の販売先状況等（売上高）に記入の無い企業(9社）を除く。※表中の数値については、端数処理の関係上合計と一致しないことがある。"
"0003302758","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","144","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","12","医療機器販売先別売上高の状況","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","医療機器販売先別売上高の状況","・2017年度：医療機器の販売先状況等（売上高）に記入の無い企業(4社）を除く。・2016年度、2015年度：医療機器の販売先状況等（売上高）に記入の無い企業(9社）を除く。※表中の数値については、端数処理の関係上合計と一致しないことがある。"
"0003302759","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","168","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","13","医療機器販売先数","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","医療機器販売先数","・2017年度：医療機器の販売先状況等（販売先数）に記入の無い企業(7社）を除く。・2016年度：医療機器の販売先状況等（販売先数）に記入の無い企業(13社）を除く。・2015年度：医療機器の販売先状況等（販売先数）に記入の無い企業(18社）を除く。※表中の数値については、端数処理の関係上合計と一致しないことがある。"
"0003302760","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","160","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","14","医療機器製品区分別売上高","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","医療機器製品区分別売上高","・2017年度：売上高状況等の製品区分売上高に記入の無い企業(8社）を除く。・2016年度、2015年度：売上高状況等の製品区分売上高に記入の無い企業(13社）を除く。・2014年度：売上高状況等の製品区分売上高に記入の無い企業(10社）を除く。※表中の数値については、端数処理の関係上合計と一致しないことがある。"
"0003302761","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","576","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","15","資本金規模別、医療機器販売先別売上高の状況","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","資本金規模別、医療機器販売先別売上高の状況","・2017年度：医療機器の販売先状況等（売上高）に記入の無い企業(4社）を除く。・2016年度、2015年度：医療機器の販売先状況等（売上高）に記入の無い企業(9社）を除く。※表中の数値については、端数処理の関係上合計と一致しないことがある。"
"0003302762","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","576","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","16","医療機器関係売上高規模別、医療機器販売先別売上高の状況","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","医療機器関係売上高規模別、医療機器販売先別売上高の状況","・2017年度：医療機器の販売先状況等（売上高）に記入の無い企業(4社）を除く。・2016年度、2015年度：医療機器の販売先状況等（売上高）に記入の無い企業(9社）を除く。※表中の数値については、端数処理の関係上合計と一致しないことがある。"
"0003302763","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","448","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","17","資本金規模別、医療機器販売先数","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","資本金規模別、医療機器販売先数","・2017年度：医療機器の販売先状況等（販売先数）に記入の無い企業(7社）を除く。・2016年度：医療機器の販売先状況等（販売先数）に記入の無い企業(13社）を除く。・2015年度：医療機器の販売先状況等（販売先数）に記入の無い企業(18社）を除く。※表中の数値については、端数処理の関係上合計と一致しないことがある。"
"0003302764","医薬品・医療機器産業実態調査 医療機器卸売業","年度次","0","2019-12-18","0","該当なし","448","2019-12-18","","00450152","医薬品・医療機器産業実態調査","00450","厚生労働省","18","医療機器関係売上高規模別、医療機器販売先数","05","鉱工業","02","製造業","医薬品・医療機器産業実態調査","医療機器卸売業","医療機器関係売上高規模別、医療機器販売先数","・2017年度：医療機器の販売先状況等（販売先数、売上高）に記入の無い企業(8社）を除く。・2016年度：医療機器の販売先状況等（販売先数）に記入の無い企業(13社）を除く。・2015年度：医療機器の販売先状況等（販売先数）に記入の無い企業(18社）を除く。※表中の数値については、端数処理の関係上合計と一致しないことがある。"
