"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003356303","農作物共済統計表 確報","年次","0","2019-12-26","0","全国","2160","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1","全国統計表 引受及び被害・支払（年産別）　水稲","04","農林水産業","01","農業","農作物共済統計表","確報","全国統計表","引受及び被害・支払（年産別）　水稲","注：「組合等数」及び「共済金支払対象」の「組合等数」の計は、実数である。","","",""
"0003356372","農作物共済統計表 確報","年次","0","2019-12-26","0","全国","2652","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1","都道府県別統計表 引受　総合計（水稲・陸稲・麦）","04","農林水産業","01","農業","農作物共済統計表","確報","都道府県別統計表","引受　総合計（水稲・陸稲・麦）","注：１．　高知県及び沖縄県の水稲については、１回作と２回作を合計している。<br>　　２．　基準収穫量及び引受収量は、一筆方式、半相殺方式、全相殺方式の合計であり、基準生産金額及び特定農作物共済限度額は、品質方式（水稲）及び災害収入共済方式（麦）の合計である。","","",""
"0003356372","農作物共済統計表 確報","年次","0","2019-12-26","0","都道府県","2652","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1","都道府県別統計表 引受　総合計（水稲・陸稲・麦）","04","農林水産業","01","農業","農作物共済統計表","確報","都道府県別統計表","引受　総合計（水稲・陸稲・麦）","注：１．　高知県及び沖縄県の水稲については、１回作と２回作を合計している。<br>　　２．　基準収穫量及び引受収量は、一筆方式、半相殺方式、全相殺方式の合計であり、基準生産金額及び特定農作物共済限度額は、品質方式（水稲）及び災害収入共済方式（麦）の合計である。","","",""
"0003356373","農作物共済統計表 確報","年次","0","2019-12-26","0","全国","39958","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1-1","都道府県別統計表 引受　水稲","04","農林水産業","01","農業","農作物共済統計表","確報","都道府県別統計表","引受　水稲","注：１．「都道府県」の高知県及び沖縄県で、１回作は「高知県_１回作、沖縄県_１回作」、２回作は「高知県_２回作、沖縄県_２回作」である。<br>　　２．事項「引受方式」の「計」において、「基準収穫量」及び「引受収量」は、一筆方式、半相殺方式、全相殺方式の計であり、「基準生産金額」及び「特定農作物共済限度額」は、品質方式の計である。","","",""
"0003356373","農作物共済統計表 確報","年次","0","2019-12-26","0","都道府県","39958","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1-1","都道府県別統計表 引受　水稲","04","農林水産業","01","農業","農作物共済統計表","確報","都道府県別統計表","引受　水稲","注：１．「都道府県」の高知県及び沖縄県で、１回作は「高知県_１回作、沖縄県_１回作」、２回作は「高知県_２回作、沖縄県_２回作」である。<br>　　２．事項「引受方式」の「計」において、「基準収穫量」及び「引受収量」は、一筆方式、半相殺方式、全相殺方式の計であり、「基準生産金額」及び「特定農作物共済限度額」は、品質方式の計である。","","",""
"0003356374","農作物共済統計表 確報","年次","0","2019-12-26","0","全国","3624","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1-2","都道府県別統計表 引受　陸稲","04","農林水産業","01","農業","農作物共済統計表","確報","都道府県別統計表","引受　陸稲","","","",""
"0003356374","農作物共済統計表 確報","年次","0","2019-12-26","0","都道府県","3624","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1-2","都道府県別統計表 引受　陸稲","04","農林水産業","01","農業","農作物共済統計表","確報","都道府県別統計表","引受　陸稲","","","",""
"0003356375","農作物共済統計表 確報","年次","0","2019-12-26","0","全国","17917","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1-3","都道府県別統計表 引受　麦","04","農林水産業","01","農業","農作物共済統計表","確報","都道府県別統計表","引受　麦","注：事項「引受方式」の「計」において、「基準収穫量」及び「引受収量」は、一筆方式、半相殺方式、全相殺方式の計であり、「基準生産金額」及び「特定農作物共済限度額」は、災害収入共済方式の計である。","","",""
"0003356375","農作物共済統計表 確報","年次","0","2019-12-26","0","都道府県","17917","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","1-3","都道府県別統計表 引受　麦","04","農林水産業","01","農業","農作物共済統計表","確報","都道府県別統計表","引受　麦","注：事項「引受方式」の「計」において、「基準収穫量」及び「引受収量」は、一筆方式、半相殺方式、全相殺方式の計であり、「基準生産金額」及び「特定農作物共済限度額」は、災害収入共済方式の計である。","","",""
"0003356370","農作物共済統計表 確報","年次","0","2019-12-26","0","全国","408","2020-12-28","","00500604","農作物共済統計表","00500","農林水産省","2","全国統計表 引受及び被害・支払（年産別）　陸稲","04","農林水産業","01","農業","農作物共済統計表","確報","全国統計表","引受及び被害・支払（年産別）　陸稲","注：「組合等数」及び「共済金支払対象」の「組合等数」の計は、実数である。","","",""
