"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4"
"0003031864","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","544","2019-03-22","","00450022","患者調査","00450","厚生労働省","1","推計患者数の年次推移，入院－外来の種別×施設の種類別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計患者数の年次推移，入院－外来の種別×施設の種類別","","",""
"0003027265","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","450","2019-03-29","","00450022","患者調査","00450","厚生労働省","11","推計患者数，入院－外来×性・年齢階級×病院－一般診療所別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計患者数，入院－外来×性・年齢階級×病院－一般診療所別","","",""
"0003027283","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","354","2019-03-22","","00450022","患者調査","00450","厚生労働省","12","推計患者数，入院－外来×傷病分類×病院－一般診療所別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計患者数，入院－外来×傷病分類×病院－一般診療所別","","",""
"0003027303","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","1200","2019-03-29","","00450022","患者調査","00450","厚生労働省","13","推計入院患者数，病院－一般診療所・病床の種類×性・年齢階級別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計入院患者数，病院－一般診療所・病床の種類×性・年齢階級別","","",""
"0003027317","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","944","2019-03-22","","00450022","患者調査","00450","厚生労働省","14","推計入院患者数，病院－一般診療所・病床の種類×傷病分類別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計入院患者数，病院－一般診療所・病床の種類×傷病分類別","","",""
"0003027369","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","2700","2019-03-29","","00450022","患者調査","00450","厚生労働省","15","推計患者数，入院－外来・透析治療の状況×性・年齢階級×病院－一般診療所別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計患者数，入院－外来・透析治療の状況×性・年齢階級×病院－一般診療所別","","",""
"0003028616","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","2891","2019-03-22","","00450022","患者調査","00450","厚生労働省","16","推計患者数，診療費支払方法×傷病分類×入院－外来別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計患者数，診療費支払方法×傷病分類×入院－外来別","","",""
"0003027410","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","3186","2023-03-24","","00450022","患者調査","00450","厚生労働省","17","推計患者数，入院－外来・紹介の状況×傷病分類×病院－一般診療所別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計患者数，入院－外来・紹介の状況×傷病分類×病院－一般診療所別","","",""
"0003027256","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","198","2023-03-24","","00450022","患者調査","00450","厚生労働省","18","推計患者数，紹介の状況 × 入院－外来・施設の種別別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計患者数，紹介の状況 × 入院－外来・施設の種別別","","",""
"0003027268","患者調査 平成20年患者調査 上巻（全国）","-","0","2011-04-01","0","該当なし","144","2023-03-24","","00450022","患者調査","00450","厚生労働省","19","推計入院患者数，紹介の状況×病院－一般診療所・病床の種類別","15","社会保障・衛生","05","医療","患者調査","平成20年患者調査","上巻（全国）","推計入院患者数，紹介の状況×病院－一般診療所・病床の種類別","","",""
