"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003149321","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／世帯年収(10区分)","年次","0","2016-12-28","0","該当なし","483","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／世帯年収(10区分)"
"0003149322","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／住宅取得回数(3区分)","年次","0","2016-12-28","0","該当なし","90","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／住宅取得回数(3区分)"
"0003149323","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／子との現在の住まい方（家計を主に支える者が65歳以上）（6区分）","年次","0","2016-12-28","0","該当なし","144","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／子との現在の住まい方（家計を主に支える者が65歳以上）（6区分）"
"0003149341","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／家計主の年齢(8区分)","年次","0","2016-12-28","0","該当なし","360","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／家計主の年齢(8区分)"
"0003149342","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／居住面積水準状況（主世帯）（3区分）","年次","0","2016-12-28","0","該当なし","120","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／居住面積水準状況（主世帯）（3区分）"
"0003149360","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／地域(22区分)","年次","0","2016-12-28","0","該当なし","828","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／地域(22区分)"
"0003149361","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／家族構成(22区分)","年次","0","2016-12-28","0","該当なし","1080","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／家族構成(22区分)"
"0003149362","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／家計を主に支える者の通勤時間（無職以外）（8区分）","年次","0","2016-12-28","0","該当なし","250","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／家計を主に支える者の通勤時間（無職以外）（8区分）"
"0003149380","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／住宅タイプ(14区分)","年次","0","2016-12-28","0","該当なし","775","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／住宅タイプ(14区分)"
"0003149381","住生活総合調査","１　住宅及び居住環境の満足度 住宅及び居住環境の総合満足度（4区分）／要介護認定者の有無(4区分)","年次","0","2016-12-28","0","該当なし","432","2017-03-08","","00600650","住生活総合調査","00600","国土交通省","08","住宅・土地・建設","01","住宅・土地","住生活総合調査","１　住宅及び居住環境の満足度","住宅及び居住環境の総合満足度（4区分）／要介護認定者の有無(4区分)"
