"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003282942","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","1463","2024-12-25","","00401101","宗教統計調査","00401","文化庁","1","宗教法人数総括表","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","宗教法人数総括表",""
"0003280702","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","1140","2024-12-25","","00401101","宗教統計調査","00401","文化庁","2","全国社寺教会等宗教団体・教師・信者数　（１）系統別　団体数","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","全国社寺教会等宗教団体・教師・信者数　（１）系統別　団体数",""
"0003282740","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","27648","2024-12-25","","00401101","宗教統計調査","00401","文化庁","2","全国社寺教会等宗教団体・教師・信者数　（２）都道府県別　団体数","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","全国社寺教会等宗教団体・教師・信者数　（２）都道府県別　団体数",""
"0003282962","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","665","2024-12-25","","00401101","宗教統計調査","00401","文化庁","2","全国社寺教会等宗教団体・教師・信者数　（１）系統別　教師・信者数","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","全国社寺教会等宗教団体・教師・信者数　（１）系統別　教師・信者数","教師中（外国人）、（外国人計）は、外国人教師・宣教師で全教師数の内数である。"
"0003282963","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","15620","2024-12-25","","00401101","宗教統計調査","00401","文化庁","2","全国社寺教会等宗教団体・教師・信者数　（２）都道府県別　教師・信者数","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","全国社寺教会等宗教団体・教師・信者数　（２）都道府県別　教師・信者数","教師中（外国人）、（外国人計）は、外国人教師・宣教師で全教師数の内数である。"
"0003282940","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","3840","2024-12-25","","00401101","宗教統計調査","00401","文化庁","3","系統別単位宗教団体・教師・信者数　団体数","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","系統別単位宗教団体・教師・信者数　団体数",""
"0003282941","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","3840","2024-12-25","","00401101","宗教統計調査","00401","文化庁","3","系統別単位宗教団体・教師・信者数　教師・信者数","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","系統別単位宗教団体・教師・信者数　教師・信者数",""
"0003283223","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","2592","2024-12-25","","00401101","宗教統計調査","00401","文化庁","4","包括宗教団体の被包括宗教団体・教師・信者数(系統別・所轄庁別)　団体数","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","包括宗教団体の被包括宗教団体・教師・信者数(系統別・所轄庁別)　団体数",""
"0003283224","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","1460","2024-12-25","","00401101","宗教統計調査","00401","文化庁","4","包括宗教団体の被包括宗教団体・教師・信者数(系統別・所轄庁別)　教師・信者数","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","包括宗教団体の被包括宗教団体・教師・信者数(系統別・所轄庁別)　教師・信者数","教師中（外国人）、（外国人計）は、外国人教師・宣教師で全教師数の内数である。"
"0003283200","宗教統計調査","-","202304-202403","2024-12-25","0","該当なし","240","2024-12-25","","00401101","宗教統計調査","00401","文化庁","5","単立宗教法人・教師・信者数　宗教法人","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","宗教統計調査","単立宗教法人・教師・信者数　宗教法人",""
