"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION"
"0003294612","６次産業化総合調査 確報 平成25年度６次産業化総合調査報告","年度次","201304-201403","2019-02-27","0","該当なし","2480","2019-03-13","","00500247","６次産業化総合調査","00500","農林水産省","1-2","総括表 全国農業地域・都道府県別（農業）　農業生産関連事業の従事者数","04","農林水産業","01","農業","６次産業化総合調査","確報","平成25年度６次産業化総合調査報告","総括表","全国農業地域・都道府県別（農業）　農業生産関連事業の従事者数","",""
"0003294615","６次産業化総合調査 確報 平成25年度６次産業化総合調査報告","年度次","201304-201403","2019-02-27","0","該当なし","480","2019-03-13","","00500247","６次産業化総合調査","00500","農林水産省","1-3","総括表 都道府県別（漁業）　漁業生産関連事業の従事者数","04","農林水産業","01","農業","６次産業化総合調査","確報","平成25年度６次産業化総合調査報告","総括表","都道府県別（漁業）　漁業生産関連事業の従事者数","",""
"0003295171","６次産業化総合調査 確報 平成25年度６次産業化総合調査報告","年度次","201304-201403","2019-02-27","0","該当なし","105","2019-03-13","","00500247","６次産業化総合調査","00500","農林水産省","6-2","農家レストラン（農業経営体・農業協同組合等） 従事者数規模別　１事業体当たりの農業経営体・農協等別従事者数、年間雇用労賃、年間仕入金額及び年間売上金額","04","農林水産業","01","農業","６次産業化総合調査","確報","平成25年度６次産業化総合調査報告","農家レストラン（農業経営体・農業協同組合等）","従事者数規模別　１事業体当たりの農業経営体・農協等別従事者数、年間雇用労賃、年間仕入金額及び年間売上金額","",""
"0003297660","６次産業化総合調査 確報 平成25年度６次産業化総合調査報告","年度次","201304-201403","2019-02-27","0","該当なし","126","2019-03-13","","00500247","６次産業化総合調査","00500","農林水産省","6-2","農家レストラン（農業経営体・農業協同組合等） 従事者数規模別　農業経営体・農協等別事業体数、従事者数、年間雇用労賃、年間仕入金額及び年間売上金額","04","農林水産業","01","農業","６次産業化総合調査","確報","平成25年度６次産業化総合調査報告","農家レストラン（農業経営体・農業協同組合等）","従事者数規模別　農業経営体・農協等別事業体数、従事者数、年間雇用労賃、年間仕入金額及び年間売上金額","",""
"0003216320","６次産業化総合調査 確報 平成26年度６次産業化総合調査報告","年度次","201404-201503","2016-08-31","0","該当なし","90","2018-02-28","","00500247","６次産業化総合調査","00500","農林水産省","1-1","総括表 農業・漁業生産関連事業別 年間販売金額及び年間販売金額規模別事業体数割合","04","農林水産業","01","農業","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","総括表","農業・漁業生産関連事業別","年間販売金額及び年間販売金額規模別事業体数割合",""
"0003216321","６次産業化総合調査 確報 平成26年度６次産業化総合調査報告","年度次","201404-201503","2016-08-31","0","該当なし","81","2018-02-28","","00500247","６次産業化総合調査","00500","農林水産省","1-1","総括表 農業・漁業生産関連事業別 従事者数及び雇用者の男女別割合","04","農林水産業","01","農業","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","総括表","農業・漁業生産関連事業別","従事者数及び雇用者の男女別割合",""
"0003216322","６次産業化総合調査 確報 平成26年度６次産業化総合調査報告","年度次","201404-201503","2016-08-31","0","該当なし","24","2018-02-28","","00500247","６次産業化総合調査","00500","農林水産省","1-1","総括表 農業・漁業生産関連事業別 産地別年間仕入金額（農産物直売所は販売金額）","04","農林水産業","01","農業","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","総括表","農業・漁業生産関連事業別","産地別年間仕入金額（農産物直売所は販売金額）",""
"0003216323","６次産業化総合調査 確報 平成26年度６次産業化総合調査報告","年度次","201404-201503","2016-08-31","0","該当なし","1240","2018-02-28","","00500247","６次産業化総合調査","00500","農林水産省","1-2","総括表 全国農業地域・都道府県別（農業） 農業生産関連事業の年間販売金額及び事業体数","04","農林水産業","01","農業","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","総括表","全国農業地域・都道府県別（農業）","農業生産関連事業の年間販売金額及び事業体数",""
"0003216324","６次産業化総合調査 確報 平成26年度６次産業化総合調査報告","年度次","201404-201503","2016-08-31","0","該当なし","1240","2018-02-28","","00500247","６次産業化総合調査","00500","農林水産省","1-2","総括表 全国農業地域・都道府県別（農業） 農業生産関連事業の従事者数","04","農林水産業","01","農業","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","総括表","全国農業地域・都道府県別（農業）","農業生産関連事業の従事者数",""
"0003216325","６次産業化総合調査 確報 平成26年度６次産業化総合調査報告","年度次","201404-201503","2016-08-31","0","該当なし","240","2018-02-28","","00500247","６次産業化総合調査","00500","農林水産省","1-3","総括表 都道府県別（漁業） 漁業生産関連事業の年間販売金額及び事業体数","04","農林水産業","01","農業","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","総括表","都道府県別（漁業）","漁業生産関連事業の年間販売金額及び事業体数",""
