"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003366391","畑作物共済統計表 確報","年次","0","2020-03-04","0","全国","3603","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","1","全国統計表 引受及び被害・支払（年産別）","04","農林水産業","01","農業","畑作物共済統計表","確報","全国統計表","引受及び被害・支払（年産別）","注：１．「都道府県数」の「総合計」及び、「〔付〕農作物計」は、実数である。注：２．「引受組合等延数」は、共済目的の種類ごとの「引受組合等実数」を計上したものである。注：３．2001年産から蚕繭共済が畑作物共済へ統合されたため、蚕繭共済を含んだ数値である。注：４．再保険区分に係る項目で、共済目的の種類ごとに記載できない項目については、（参考）にまとめて記載した。","","","",""
"0003412435","畑作物共済統計表 確報","年次","0","2020-03-04","0","全国","366","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","2","全国統計表 収支","04","農林水産業","01","農業","畑作物共済統計表","確報","全国統計表","収支","注：１．「収入」とは、「組合等」では組合等手持掛金、「連合会」では連合会手持保険料、「政府特別会計」では再保険料である。注：２．「支出」とは、「組合等」、「連合会」、「政府特別会計」のそれぞれ手持責任の範囲内において支払った共済金の内訳額である。注：３．「組合等」「連合会」「政府特別会計」において、ばれいしょは、ばれいしょ及びたまねぎ、大豆は大豆、小豆、いんげん及びホップ、　　　　てん菜はてん菜、スイートコーン、かぼちゃ及びそばの再保険区分計である。","","","",""
"0003366392","畑作物共済統計表 確報","年次","0","2020-03-04","0","全国","17578","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","3","都道府県別統計表_引受 引受　共済目的の種類別　農作物計","04","農林水産業","01","農業","畑作物共済統計表","確報","都道府県別統計表_引受","引受　共済目的の種類別　農作物計","","","","",""
"0003366392","畑作物共済統計表 確報","年次","0","2020-03-04","0","都道府県","17578","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","3","都道府県別統計表_引受 引受　共済目的の種類別　農作物計","04","農林水産業","01","農業","畑作物共済統計表","確報","都道府県別統計表_引受","引受　共済目的の種類別　農作物計","","","","",""
"0003366395","畑作物共済統計表 確報","年次","0","2020-03-04","0","全国","7515","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","3","都道府県別統計表_引受 引受　再保険区分別","04","農林水産業","01","農業","畑作物共済統計表","確報","都道府県別統計表_引受","引受　再保険区分別","注：再保険区分については、それぞれの年次の「利用者のために」から、2016年は8頁、2015年は24頁、2014年は35頁を参照。","","","",""
"0003366395","畑作物共済統計表 確報","年次","0","2020-03-04","0","都道府県","7515","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","3","都道府県別統計表_引受 引受　再保険区分別","04","農林水産業","01","農業","畑作物共済統計表","確報","都道府県別統計表_引受","引受　再保険区分別","注：再保険区分については、それぞれの年次の「利用者のために」から、2016年は8頁、2015年は24頁、2014年は35頁を参照。","","","",""
"0003412434","畑作物共済統計表 確報","年次","0","2020-03-04","0","全国","15513","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","3","都道府県別統計表_引受 引受　共済目的の種類等別　農作物計（類別）","04","農林水産業","01","農業","畑作物共済統計表","確報","都道府県別統計表_引受","引受　共済目的の種類等別　農作物計（類別）","注：ばれいしょのみ、「春計」と「秋計」に「組合等実数」を集計した。","","","",""
"0003412434","畑作物共済統計表 確報","年次","0","2020-03-04","0","都道府県","15513","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","3","都道府県別統計表_引受 引受　共済目的の種類等別　農作物計（類別）","04","農林水産業","01","農業","畑作物共済統計表","確報","都道府県別統計表_引受","引受　共済目的の種類等別　農作物計（類別）","注：ばれいしょのみ、「春計」と「秋計」に「組合等実数」を集計した。","","","",""
"0003366396","畑作物共済統計表 確報","年次","0","2020-03-04","0","全国","18870","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","4","都道府県別統計表_被害・支払 被害・支払　共済目的の種類等別　農作物計（類別）","04","農林水産業","01","農業","畑作物共済統計表","確報","都道府県別統計表_被害・支払","被害・支払　共済目的の種類等別　農作物計（類別）","注：ばれいしょのみ、「春計」と「秋計」に「引受組合等実数」を集計した。","","","",""
"0003366396","畑作物共済統計表 確報","年次","0","2020-03-04","0","都道府県","18870","2020-03-05","","00500607","畑作物共済統計表","00500","農林水産省","4","都道府県別統計表_被害・支払 被害・支払　共済目的の種類等別　農作物計（類別）","04","農林水産業","01","農業","畑作物共済統計表","確報","都道府県別統計表_被害・支払","被害・支払　共済目的の種類等別　農作物計（類別）","注：ばれいしょのみ、「春計」と「秋計」に「引受組合等実数」を集計した。","","","",""
