"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0004016884","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","1-1","１　全数集計（全国） 年齢階級区分、性、都市規模区分、保険料納付状況区分別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","１　全数集計（全国）","年齢階級区分、性、都市規模区分、保険料納付状況区分別　被保険者数・被保険者数割合",""
"0004016915","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","1-2","１　全数集計（全国） 年齢階級区分、性、都市規模区分、保険料納付状況区分別　被保険者数割合（年齢階級区分に係る構成割合）","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","１　全数集計（全国）","年齢階級区分、性、都市規模区分、保険料納付状況区分別　被保険者数割合（年齢階級区分に係る構成割合）",""
"0004016926","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","1-2-1","１　全数集計（全国） 令和元年度の納付対象月数、令和元年度の納付月数、保険料納付状況区分別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","１　全数集計（全国）","令和元年度の納付対象月数、令和元年度の納付月数、保険料納付状況区分別　被保険者数・被保険者数割合",""
"0004016937","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","1-2-2","１　全数集計（全国） 保険料納付状況区分別　平均対象月数・平均納付月数","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","１　全数集計（全国）","保険料納付状況区分別　平均対象月数・平均納付月数",""
"0004016948","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-1-1","２　郵送調査集計（全国） 年齢階級区分、性、就業状況別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","年齢階級区分、性、就業状況別　被保険者数・被保険者数割合",""
"0004016959","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-1-2","２　郵送調査集計（全国） 年齢階級区分、保険料納付状況区分、就業状況別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","年齢階級区分、保険料納付状況区分、就業状況別　被保険者数・被保険者数割合",""
"0004016970","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-1-3","２　郵送調査集計（全国） 都市規模区分、性、就業状況別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","都市規模区分、性、就業状況別　被保険者数・被保険者数割合",""
"0004016981","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-1-4","２　郵送調査集計（全国） 都市規模区分、保険料納付状況区分、就業状況別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","都市規模区分、保険料納付状況区分、就業状況別　被保険者数・被保険者数割合",""
"0004016958","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-10-1","２　郵送調査集計（全国） 年齢階級区分、性、保険料を納めていないことについての意識別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","年齢階級区分、性、保険料を納めていないことについての意識別　被保険者数・被保険者数割合","1 国民年金の保険料を納めなかった期間がある者を対象として集計している。<BR>2 保険料を納めていないことについての意識不詳の者を除く。"
"0004016960","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-10-2","２　郵送調査集計（全国） 年齢階級区分、保険料納付状況区分、保険料を納めていないことについての意識別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","年齢階級区分、保険料納付状況区分、保険料を納めていないことについての意識別　被保険者数・被保険者数割合","1 国民年金の保険料を納めなかった期間がある者を対象として集計している。<BR>2 保険料を納めていないことについての意識不詳の者を除く。"
"0004016961","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-10-3","２　郵送調査集計（全国） 都市規模区分、性、保険料を納めていないことについての意識別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","都市規模区分、性、保険料を納めていないことについての意識別　被保険者数・被保険者数割合","1 国民年金の保険料を納めなかった期間がある者を対象として集計している。<BR>2 保険料を納めていないことについての意識不詳の者を除く。"
"0004016962","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-10-4","２　郵送調査集計（全国） 都市規模区分、保険料納付状況区分、保険料を納めていないことについての意識別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","都市規模区分、保険料納付状況区分、保険料を納めていないことについての意識別　被保険者数・被保険者数割合","1 国民年金の保険料を納めなかった期間がある者を対象として集計している。<BR>2 保険料を納めていないことについての意識不詳の者を除く。"
"0004016963","令和２年国民年金被保険者実態調査","-","202001-202012","2024-08-01","0","該当なし","0","2024-08-01","","00450462","国民年金被保険者実態調査","00450","厚生労働省","2-11-1","２　郵送調査集計（全国） 学生区分、性、保険料の主たる負担者別　被保険者数・被保険者数割合","15","社会保障・衛生","02","社会保険","令和２年国民年金被保険者実態調査","２　郵送調査集計（全国）","学生区分、性、保険料の主たる負担者別　被保険者数・被保険者数割合","1 前々年度及び前年度の国民年金の保険料の主たる負担者である。<BR>2 総数には、学生区分不詳の者を含む。"
