"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003207421","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21","0","該当なし","15708","2017-12-21","","00200566","全国単身世帯収支実態調査","00200","総務省","1","［単身世帯］フロー編第１表 男女、年間収入階級別１世帯当たり１か月間の収入と支出 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］フロー編第１表 男女、年間収入階級別１世帯当たり１か月間の収入と支出","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
"0003108764","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31","0","該当なし","2499","2015-07-31","","00200566","全国単身世帯収支実態調査","00200","総務省","10","［単身世帯］ストック編第１０表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］ストック編第１０表","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
"0003108814","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31","0","該当なし","1602","2015-07-31","","00200566","全国単身世帯収支実態調査","00200","総務省","11","［単身世帯］ストック編第１１表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］ストック編第１１表","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
"0003108781","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31","0","該当なし","3408","2015-07-31","","00200566","全国単身世帯収支実態調査","00200","総務省","12","［単身世帯］ストック編第１２表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］ストック編第１２表","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
"0003108780","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31","0","該当なし","2499","2015-07-31","","00200566","全国単身世帯収支実態調査","00200","総務省","13","［単身世帯］ストック編第１３表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］ストック編第１３表","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
"0003206283","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21","0","該当なし","1628","2017-12-21","","00200566","全国単身世帯収支実態調査","00200","総務省","14","［単身世帯］ストック編第１４表 男女, 年間収入階級別１世帯当たり貯蓄・負債の現在高と保有率 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］ストック編第１４表 男女, 年間収入階級別１世帯当たり貯蓄・負債の現在高と保有率","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
"0003206322","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21","0","該当なし","888","2017-12-21","","00200566","全国単身世帯収支実態調査","00200","総務省","15","［単身世帯］ストック編第１５表 男女, 年齢階級別１世帯当たり貯蓄・負債の現在高と保有率 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］ストック編第１５表 男女, 年齢階級別１世帯当たり貯蓄・負債の現在高と保有率","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
"0003206304","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21","0","該当なし","518","2017-12-21","","00200566","全国単身世帯収支実態調査","00200","総務省","16","［単身世帯］ストック編第１６表 男女, 職業別１世帯当たり貯蓄･負債の現在高と保有率 - 全国 - 単身世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］ストック編第１６表 男女, 職業別１世帯当たり貯蓄･負債の現在高と保有率","- 全国 - 単身世帯"
"0003206342","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21","0","該当なし","5040","2017-12-21","","00200566","全国単身世帯収支実態調査","00200","総務省","17","［単身世帯］ストック編第１７表 男女, 年齢階級別１世帯当たり資産額 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］ストック編第１７表 男女, 年齢階級別１世帯当たり資産額","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
"0003206284","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21","0","該当なし","23715","2017-12-21","","00200566","全国単身世帯収支実態調査","00200","総務省","18","［単身世帯］分析表第１８表 男女, 世帯属性, 現金実収入階級･消費支出金額階級・貯蓄現在高階級別世帯分布 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","07","企業・家計・経済","04","家計","全国単身世帯収支実態調査（平成26年）","［単身世帯］分析表第１８表 男女, 世帯属性, 現金実収入階級･消費支出金額階級・貯蓄現在高階級別世帯分布","- 全国 - 単身世帯・単身世帯のうち勤労者世帯"
