"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0003362680","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","45","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-1","総括 人員　研究機関数、研究職員数等の現状","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　研究機関数、研究職員数等の現状","研究職員数は企画調整関係を含まない。",""
"0003362689","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","192","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-10","総括 人員　研究職員の専門別人数　農業分野","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　研究職員の専門別人数　農業分野","「独立行政法人等」は調査年度の1月1日現在<br>「都道府県」は調査年度の3月31日現在<br>研究に従事するエフォート（従事割合）値。<br>企画調整関係に配属されている研究職員を加えた値。<br>都道府県については、「その他分野」の研究職員を減じた値。",""
"0003362690","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","96","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-11","総括 人員　研究職員の専門別人数　林業分野","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　研究職員の専門別人数　林業分野","「独立行政法人等」は調査年度の1月1日現在<br>「都道府県」は調査年度の3月31日現在<br>研究に従事するエフォート（従事割合）値。<br>企画調整関係に配属されている研究職員を加えた値。<br>都道府県については、「その他分野」の研究職員を減じた値。",""
"0003362691","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","84","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-12","総括 人員　研究職員の専門別人数　水産業分野","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　研究職員の専門別人数　水産業分野","「独立行政法人等」は調査年度の1月1日現在<br>「都道府県」は調査年度の3月31日現在<br>研究に従事するエフォート（従事割合）値。<br>企画調整関係に配属されている研究職員を加えた値。<br>都道府県については、「その他分野」の研究職員を減じた値。",""
"0003362682","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","72","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-3","総括 人員　臨時職員の職種別人数","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　臨時職員の職種別人数","",""
"0003362683","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","192","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-4","総括 人員　研究職員の年齢別人数","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　研究職員の年齢別人数","「独立行政法人等」は調査年度の1月1日現在<br>「都道府県」は調査年度の3月31日現在<br>企画調整関係に配属されている研究職員を加えた数。<br>都道府県については、「その他分野」の研究職員を減じた数。",""
"0003362684","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","192","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-5","総括 人員　研究職員の研究歴別人数","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　研究職員の研究歴別人数","「独立行政法人等」は調査年度の1月1日現在<br>「都道府県」は調査年度の3月31日現在<br>企画調整関係に配属されている研究職員を加えた数。<br>都道府県については、「その他分野」の研究職員を減じた数。",""
"0003362687","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","240","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-8","総括 人員　研究職員の部門別人数　農業分野","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　研究職員の部門別人数　農業分野","「独立行政法人等」は調査年度の1月1日現在<br>「都道府県」は調査年度の3月31日現在<br>研究に従事するエフォート（従事割合）値。<br>企画調整関係に配属されている研究職員を加えた値。<br>都道府県については、「その他分野」の研究職員を減じた値。",""
"0003362688","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","該当なし","48","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","1-9","総括 人員　研究職員の部門別人数　林業・水産業分野","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","総括","人員　研究職員の部門別人数　林業・水産業分野","「独立行政法人等」は調査年度の1月1日現在<br>「都道府県」は調査年度の3月31日現在<br>研究に従事するエフォート（従事割合）値。<br>企画調整関係に配属されている研究職員を加えた値。<br>都道府県については、「その他分野」の研究職員を減じた値。",""
"0003362722","農林水産関係試験研究機関基礎調査 確報","年度次","0","2019-12-19","0","都道府県","23673","2019-12-20","","00500800","農林水産関係試験研究機関基礎調査","00500","農林水産省","10-2","都道府県 都道府県研究機関　研究職員の部門別人数","11","情報通信・科学技術","02","科学技術","農林水産関係試験研究機関基礎調査","確報","都道府県","都道府県研究機関　研究職員の部門別人数","",""
