"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003166756","通信利用動向調査 世帯編","問１　世帯構成（１）世帯数 世帯年収","年次","0","2016-12-28","0","該当なし","248","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（１）世帯数","世帯年収","",""
"0003166757","通信利用動向調査 世帯編","問１　世帯構成（２）世帯主の年齢別 都市区分","年次","0","2016-12-28","0","該当なし","92","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（２）世帯主の年齢別","都市区分","",""
"0003166758","通信利用動向調査 世帯編","問１　世帯構成（２）世帯主の年齢別 世帯主の職業","年次","0","2016-12-28","0","該当なし","184","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（２）世帯主の年齢別","世帯主の職業","",""
"0003166759","通信利用動向調査 世帯編","問１　世帯構成（３）世帯主の性別 世帯年収","年次","0","2016-12-28","0","該当なし","56","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（３）世帯主の性別","世帯年収","",""
"0003166777","通信利用動向調査 世帯編","問１　世帯構成（１）世帯数 世帯人員","年次","0","2016-12-28","0","該当なし","217","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（１）世帯数","世帯人員","",""
"0003166778","通信利用動向調査 世帯編","問１　世帯構成（２）世帯主の年齢別 世帯主年齢","年次","0","2016-12-28","0","該当なし","230","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（２）世帯主の年齢別","世帯主年齢","",""
"0003166779","通信利用動向調査 世帯編","問１　世帯構成（２）世帯主の年齢別 世帯主年齢60歳以上","年次","0","2016-12-28","0","該当なし","69","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（２）世帯主の年齢別","世帯主年齢60歳以上","",""
"0003166796","通信利用動向調査 世帯編","問１　世帯構成（１）世帯数 都市区分","年次","0","2016-12-28","0","該当なし","124","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（１）世帯数","都市区分","",""
"0003166797","通信利用動向調査 世帯編","問１　世帯構成（１）世帯数 世帯主の職業","年次","0","2016-12-28","0","該当なし","248","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（１）世帯数","世帯主の職業","",""
"0003166798","通信利用動向調査 世帯編","問１　世帯構成（２）世帯主の年齢別 世帯年収","年次","0","2016-12-28","0","該当なし","184","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（２）世帯主の年齢別","世帯年収","",""
"0003166799","通信利用動向調査 世帯編","問１　世帯構成（３）世帯主の性別 都市区分","年次","0","2016-12-28","0","該当なし","28","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（３）世帯主の性別","都市区分","",""
"0003166816","通信利用動向調査 世帯編","問１　世帯構成（１）世帯数 世帯主年齢","年次","0","2016-12-28","0","該当なし","310","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（１）世帯数","世帯主年齢","",""
"0003166817","通信利用動向調査 世帯編","問１　世帯構成（１）世帯数 世帯主年齢60歳以上","年次","0","2016-12-28","0","該当なし","93","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（１）世帯数","世帯主年齢60歳以上","",""
"0003166818","通信利用動向調査 世帯編","問１　世帯構成（２）世帯主の年齢別 世帯人員","年次","0","2016-12-28","0","該当なし","161","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（２）世帯主の年齢別","世帯人員","",""
"0003166819","通信利用動向調査 世帯編","問１　世帯構成（３）世帯主の性別 世帯主年齢","年次","0","2016-12-28","0","該当なし","70","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（３）世帯主の性別","世帯主年齢","",""
"0003166820","通信利用動向調査 世帯編","問１　世帯構成（３）世帯主の性別 世帯人員","年次","0","2016-12-28","0","該当なし","49","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問１　世帯構成（３）世帯主の性別","世帯人員","",""
"0003166821","通信利用動向調査 世帯編","問２　情報通信機器の保有状況 世帯主年齢","年次","0","2016-12-28","0","該当なし","270","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問２　情報通信機器の保有状況","世帯主年齢","",""
"0003166822","通信利用動向調査 世帯編","問２　情報通信機器の保有状況 世帯主年齢60歳以上","年次","0","2016-12-28","0","該当なし","81","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問２　情報通信機器の保有状況","世帯主年齢60歳以上","",""
"0003166823","通信利用動向調査 世帯編","問２　情報通信機器の保有意向 世帯人員","年次","0","2016-12-28","0","該当なし","1547","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問２　情報通信機器の保有意向","世帯人員","",""
"0003166824","通信利用動向調査 世帯編","問３　固定電話回線の利用状況 世帯主年齢","年次","0","2016-12-28","0","該当なし","130","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問３　固定電話回線の利用状況","世帯主年齢","",""
"0003166825","通信利用動向調査 世帯編","問３　固定電話回線の利用状況 世帯主年齢60歳以上","年次","0","2016-12-28","0","該当なし","39","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問３　固定電話回線の利用状況","世帯主年齢60歳以上","",""
"0003166826","通信利用動向調査 世帯編","問４　過去１年間のインターネットの利用状況 世帯人員","年次","0","2016-12-28","0","該当なし","63","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問４　過去１年間のインターネットの利用状況","世帯人員","",""
"0003166827","通信利用動向調査 世帯編","問４　世帯主のインターネット利用場所（自宅外） 世帯主年齢","年次","0","2016-12-28","0","該当なし","190","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問４　世帯主のインターネット利用場所（自宅外）","世帯主年齢","",""
"0003166828","通信利用動向調査 世帯編","問４　世帯主のインターネット利用場所（自宅外） 世帯主年齢60歳以上","年次","0","2016-12-28","0","該当なし","57","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問４　世帯主のインターネット利用場所（自宅外）","世帯主年齢60歳以上","",""
"0003166829","通信利用動向調査 世帯編","問４　インターネットの接続形態（自宅） 世帯人員","年次","0","2016-12-28","0","該当なし","147","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問４　インターネットの接続形態（自宅）","世帯人員","",""
"0003166830","通信利用動向調査 世帯編","問５　世帯主がインターネットを利用しなかった理由（１番目） 世帯主年齢","年次","0","2016-12-28","0","該当なし","370","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問５　世帯主がインターネットを利用しなかった理由（１番目）","世帯主年齢","",""
"0003166831","通信利用動向調査 世帯編","問５　世帯主がインターネットを利用しなかった理由（１番目） 世帯主年齢60歳以上","年次","0","2016-12-28","0","該当なし","111","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問５　世帯主がインターネットを利用しなかった理由（１番目）","世帯主年齢60歳以上","",""
"0003166832","通信利用動向調査 世帯編","問５　インターネット未利用世帯主の今後の利用希望 世帯人員","年次","0","2016-12-28","0","該当なし","217","2019-01-28","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問５　インターネット未利用世帯主の今後の利用希望","世帯人員","",""
"0003166833","通信利用動向調査 世帯編","問５　世帯主のインターネット利用用途（１番目） 世帯主年齢","年次","0","2016-12-28","0","該当なし","930","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問５　世帯主のインターネット利用用途（１番目）","世帯主年齢","",""
"0003166834","通信利用動向調査 世帯編","問５　世帯主のインターネット利用用途（１番目） 世帯主年齢60歳以上","年次","0","2016-12-28","0","該当なし","279","2019-02-04","","00200356","通信利用動向調査","00200","総務省","11","情報通信・科学技術","01","情報通信・放送","通信利用動向調査","世帯編","問５　世帯主のインターネット利用用途（１番目）","世帯主年齢60歳以上","",""
