"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003322458","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","3938","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 北海道","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","北海道"
"0003322459","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","880","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 青森県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","青森県"
"0003322460","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","726","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 岩手県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","岩手県"
"0003322461","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","770","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 宮城県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","宮城県"
"0003322462","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","550","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 秋田県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","秋田県"
"0003322463","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","770","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 山形県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","山形県"
"0003322464","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","1298","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 福島県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","福島県"
"0003322465","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","968","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 茨城県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","茨城県"
"0003322466","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","550","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 栃木県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","栃木県"
"0003322467","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","770","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 群馬県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","群馬県"
"0003322468","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","1386","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 埼玉県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","埼玉県"
"0003322469","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","1188","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 千葉県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","千葉県"
"0003322470","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","880","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 東京都","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","東京都"
"0003322471","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","726","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 神奈川県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","神奈川県"
"0003322472","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","660","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 新潟県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","新潟県"
"0003322473","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","330","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 富山県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","富山県"
"0003322474","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","418","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 石川県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","石川県"
"0003322475","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","374","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 福井県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","福井県"
"0003322476","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","594","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 山梨県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","山梨県"
"0003322477","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","1694","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 長野県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","長野県"
"0003322478","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","924","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 岐阜県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","岐阜県"
"0003322479","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","770","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 静岡県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","静岡県"
"0003322480","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","1188","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 愛知県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","愛知県"
"0003322481","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","638","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 三重県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","三重県"
"0003322482","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","418","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 滋賀県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","滋賀県"
"0003322483","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","572","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 京都府","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","京都府"
"0003322484","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","946","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 大阪府","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","大阪府"
"0003322485","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","902","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 兵庫県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","兵庫県"
"0003322486","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","858","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 奈良県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","奈良県"
"0003322487","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","660","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 和歌山県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","和歌山県"
"0003322488","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","418","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 鳥取県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","鳥取県"
"0003322489","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","418","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 島根県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","島根県"
"0003322490","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","594","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 岡山県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","岡山県"
"0003322491","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","506","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 広島県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","広島県"
"0003322492","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","418","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 山口県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","山口県"
"0003322493","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","528","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 徳島県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","徳島県"
"0003322494","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","374","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 香川県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","香川県"
"0003322495","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","440","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 愛媛県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","愛媛県"
"0003322496","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","748","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 高知県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","高知県"
"0003322497","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","1320","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 福岡県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","福岡県"
"0003322498","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","440","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 佐賀県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","佐賀県"
"0003322499","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","462","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 長崎県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","長崎県"
"0003322500","市町村別農業産出額（推計） 確報 平成28年市町村別農業産出額（推計）","年次","201601-201612","2018-03-23","0","該当なし","990","2023-03-22","","00500249","市町村別農業産出額（推計）","00500","農林水産省","2","統計表 熊本県","04","農林水産業","01","農業","市町村別農業産出額（推計）","確報","平成28年市町村別農業産出額（推計）","統計表","熊本県"
