"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0002070001","家計調査 家計収支編 二人以上の世帯","月次","0","2025-10-07","0","該当なし","21853024","2025-10-07","","00200561","家計調査","00200","総務省","001","用途分類 用途分類（総数）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（総数）",""
"0002070002","家計調査 家計収支編 二人以上の世帯","四半期","0","2025-08-08","0","該当なし","103250","2025-10-03","","00200561","家計調査","00200","総務省","001","用途分類 用途分類（総数）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（総数）",""
"0002070003","家計調査 家計収支編 二人以上の世帯","年次","0","2025-02-07","0","該当なし","1806272","2025-10-03","","00200561","家計調査","00200","総務省","001","用途分類 用途分類（総数）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（総数）",""
"0002070004","家計調査 家計収支編 二人以上の世帯","月次","0","2025-10-07","0","該当なし","1784310","2025-10-07","","00200561","家計調査","00200","総務省","002","用途分類 用途分類（年間収入五分位階級別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（年間収入五分位階級別）",""
"0002070005","家計調査 家計収支編 二人以上の世帯","年次","0","2025-02-07","0","該当なし","147359","2025-10-03","","00200561","家計調査","00200","総務省","002","用途分類 用途分類（年間収入五分位階級別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（年間収入五分位階級別）",""
"0002070006","家計調査 家計収支編 二人以上の世帯","月次","0","2025-10-07","0","該当なし","1102116","2025-10-07","","00200561","家計調査","00200","総務省","003","用途分類 用途分類（世帯主の定期収入五分位階級別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯主の定期収入五分位階級別）",""
"0002070007","家計調査 家計収支編 二人以上の世帯","年次","0","2025-02-07","0","該当なし","91017","2025-10-03","","00200561","家計調査","00200","総務省","003","用途分類 用途分類（世帯主の定期収入五分位階級別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯主の定期収入五分位階級別）",""
"0002070008","家計調査 家計収支編 二人以上の世帯","月次","0","2025-10-07","0","該当なし","1777674","2025-10-07","","00200561","家計調査","00200","総務省","004","用途分類 用途分類（世帯人員別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯人員別）",""
"0002070009","家計調査 家計収支編 二人以上の世帯","年次","0","2025-02-07","0","該当なし","146813","2025-10-03","","00200561","家計調査","00200","総務省","004","用途分類 用途分類（世帯人員別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯人員別）",""
"0002070010","家計調査 家計収支編 二人以上の世帯","月次","0","2025-10-07","0","該当なし","3902342","2025-10-07","","00200561","家計調査","00200","総務省","005","用途分類 用途分類（世帯主の年齢階級別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯主の年齢階級別）",""
"0002070011","家計調査 家計収支編 二人以上の世帯","年次","0","2025-02-07","0","該当なし","322513","2025-10-03","","00200561","家計調査","00200","総務省","005","用途分類 用途分類（世帯主の年齢階級別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯主の年齢階級別）",""
"0002070012","家計調査 家計収支編 二人以上の世帯","月次","0","2025-10-07","0","該当なし","2498712","2025-10-07","","00200561","家計調査","00200","総務省","006","用途分類 用途分類（世帯主の職業別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯主の職業別）",""
"0002070013","家計調査 家計収支編 二人以上の世帯","年次","0","2025-02-07","0","該当なし","207622","2025-10-03","","00200561","家計調査","00200","総務省","006","用途分類 用途分類（世帯主の職業別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯主の職業別）",""
"0002070014","家計調査 家計収支編 二人以上の世帯","月次","0","2025-10-07","0","該当なし","2037200","2025-10-07","","00200561","家計調査","00200","総務省","008","用途分類 用途分類（世帯主の勤め先企業規模別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯主の勤め先企業規模別）",""
"0002070015","家計調査 家計収支編 二人以上の世帯","年次","0","2025-02-07","0","該当なし","168390","2025-10-03","","00200561","家計調査","00200","総務省","008","用途分類 用途分類（世帯主の勤め先企業規模別）","07","企業・家計・経済","04","家計","家計調査","家計収支編","二人以上の世帯","用途分類","用途分類（世帯主の勤め先企業規模別）",""
