"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE","TITLE_SPEC.TABLE_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003027893","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","468","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J1","施設数・構成割合・人口１０万対施設数，年次・施設の種類別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","施設数・構成割合・人口１０万対施設数，年次・施設の種類別","","",""
"0003027909","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","300","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J10","病院数，病院－病床の種類・病床の規模別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","病院数，病院－病床の種類・病床の規模別","","",""
"0003026802","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","248","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J100","一般診療所数（重複計上），救急医療体制・開設者別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","一般診療所数（重複計上），救急医療体制・開設者別","","",""
"0003026814","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","225","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J101","一般診療所数，夜間救急対応の可否・診療科目（主たる診療科目）別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","一般診療所数，夜間救急対応の可否・診療科目（主たる診療科目）別","","",""
"0003026760","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","220","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J102","一般診療所数，夜間救急対応の可否・診療科目（単科）別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","一般診療所数，夜間救急対応の可否・診療科目（単科）別","","",""
"0003026771","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","600","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J103","一般診療所数（重複計上），表示診療時間・開設者・診療所の種類（再掲）別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","一般診療所数（重複計上），表示診療時間・開設者・診療所の種類（再掲）別","","",""
"0003026781","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","1215","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J104","一般診療所数（重複計上），委託・病床の有無・開設者別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","一般診療所数（重複計上），委託・病床の有無・開設者別","","",""
"0003026798","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","270","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J105","一般診療所数，受動喫煙防止対策・病床の有無・開設者別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","一般診療所数，受動喫煙防止対策・病床の有無・開設者別","","",""
"0003026810","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","270","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J106","一般診療所数，禁煙外来等・病床の有無・開設者別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","一般診療所数，禁煙外来等・病床の有無・開設者別","","",""
"0003026823","医療施設調査 平成２０年医療施設（静態・動態）調査 上巻","-","0","2011-04-01","0","該当なし","45","2025-03-13","","00450021","医療施設調査","00450","厚生労働省","J107","一般診療所数，退院調整支援担当者の状況・開設者別","15","社会保障・衛生","05","医療","医療施設調査","平成２０年医療施設（静態・動態）調査","上巻","一般診療所数，退院調整支援担当者の状況・開設者別","","",""
