"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003149060","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","189","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問1　住宅取得回数","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問1　住宅取得回数","",""
"0003154820","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","441","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問2　比較検討した住宅　（複数回答）","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問2　比較検討した住宅　（複数回答）","",""
"0003154821","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","504","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問6　施工者に関する情報収集方法　（複数回答）","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問6　施工者に関する情報収集方法　（複数回答）","",""
"0003154822","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","84","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問7-1　敷地の取得時期 工事の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問7-1　敷地の取得時期","工事の種類",""
"0003154823","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","63","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問8　設計図書の有無 設計図書の引き渡しがあった","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問8　設計図書の有無","設計図書の引き渡しがあった",""
"0003154824","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","378","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問9　住み替え前の住宅の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問9　住み替え前の住宅の種類","",""
"0003154825","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","63","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-1　住み替え前の住宅の建て方　一戸建て","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-1　住み替え前の住宅の建て方　一戸建て","",""
"0003154826","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","28","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-2　延べ床面積 工事の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-2　延べ床面積","工事の種類",""
"0003154827","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","504","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-4　高齢者対応設備　（複数回答） 地域","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-4　高齢者対応設備　（複数回答）","地域",""
"0003154828","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","80","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-4　高齢者対応設備　（複数回答） 高齢者の有無","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-4　高齢者対応設備　（複数回答）","高齢者の有無",""
"0003154829","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","56","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-5　省エネ設備　（複数回答） 工事の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-5　省エネ設備　（複数回答）","工事の種類",""
"0003154830","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","126","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-8　住み替え前の居住地","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-8　住み替え前の居住地","",""
"0003154831","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","378","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問14　世帯主の年齢 地域","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問14　世帯主の年齢","地域",""
"0003154832","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","84","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問14　世帯主の年齢 住宅取得者","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問14　世帯主の年齢","住宅取得者",""
"0003154833","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","567","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問15　世帯主の職業","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問15　世帯主の職業","",""
"0003154834","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","56","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問19　住宅建築資金 工事の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問19　住宅建築資金","工事の種類",""
"0003154835","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","1323","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問19・20　購入資金の内訳　借入金","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問19・20　購入資金の内訳　借入金","",""
"0003154836","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","882","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問19・20　購入資金　機関への返済期間","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問19・20　購入資金　機関への返済期間","",""
"0003154841","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","84","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問7　敷地の取得方法 工事の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問7　敷地の取得方法","工事の種類",""
"0003154842","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","378","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問7-1　敷地の取得時期 地域","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問7-1　敷地の取得時期","地域",""
"0003154843","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","126","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問9・12　工事の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問9・12　工事の種類","",""
"0003154844","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","378","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問10　住み替え前の住宅の月額家賃","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問10　住み替え前の住宅の月額家賃","",""
"0003154845","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","70","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問12　住み替え前の住宅の処分方法 住み替え前の住宅の建て方","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問12　住み替え前の住宅の処分方法","住み替え前の住宅の建て方",""
"0003154846","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","126","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-2　延べ床面積 地域","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-2　延べ床面積","地域",""
"0003154847","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","126","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-3　敷地面積","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-3　敷地面積","",""
"0003154848","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","112","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-4　高齢者対応設備　（複数回答） 工事の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-4　高齢者対応設備　（複数回答）","工事の種類",""
"0003154849","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","252","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問13-5　省エネ設備　（複数回答） 地域","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問13-5　省エネ設備　（複数回答）","地域",""
"0003154850","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","84","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問14　世帯主の年齢 工事の種類","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問14　世帯主の年齢","工事の種類",""
"0003154851","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","378","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問16　世帯主の勤続年数","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問16　世帯主の勤続年数","",""
"0003154852","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","126","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問18　高齢者がいる世帯の内訳","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問18　高齢者がいる世帯の内訳","",""
"0003154853","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","945","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問19・20　購入資金の内訳　自己資金","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問19・20　購入資金の内訳　自己資金","",""
"0003154854","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","756","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問19・20　購入資金　返済期間","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問19・20　購入資金　返済期間","",""
"0003154855","住宅市場動向調査","年度次","0","2016-12-28","0","該当なし","63","2017-03-08","","00600630","住宅市場動向調査","00600","国土交通省","1","経年変化比較表（注文住宅） 問19・20　住宅ローンの有無 住宅ローンがある 地域","08","住宅・土地・建設","01","住宅・土地","住宅市場動向調査","経年変化比較表（注文住宅）","問19・20　住宅ローンの有無","住宅ローンがある","地域"
