"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003290922","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","3593","2019-03-16","","00650204","環境経済観測調査","00650","環境省","1-1","統計表 我が国の環境ビジネス全体の業況【資本金別・主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","我が国の環境ビジネス全体の業況【資本金別・主業別】"
"0003290941","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","6994","2019-03-16","","00650204","環境経済観測調査","00650","環境省","1-1","地域別統計表 我が国の環境ビジネス全体の業況【主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","地域別統計表","我が国の環境ビジネス全体の業況【主業別】"
"0003290923","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","4212","2019-03-16","","00650204","環境経済観測調査","00650","環境省","1-2","統計表 発展していると考える環境ビジネス【主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","発展していると考える環境ビジネス【主業別】"
"0003290942","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","11232","2019-03-16","","00650204","環境経済観測調査","00650","環境省","1-2","地域別統計表 発展していると考える環境ビジネス","14","司法・安全・環境","05","環境","環境経済観測調査","地域別統計表","発展していると考える環境ビジネス"
"0003318662","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","7800","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-1-1","統計表 現在行っているまたは今後行いたいと考えている環境ビジネス数【資本金別・主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","現在行っているまたは今後行いたいと考えている環境ビジネス数【資本金別・主業別】"
"0003318670","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","7200","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-1-1","地域別統計表 現在行っている環境ビジネス数【主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","地域別統計表","現在行っている環境ビジネス数【主業別】"
"0003290925","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","11520","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-1-2","統計表 現在行っているまたは今後行いたいと考えている環境ビジネス【資本金別・主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","現在行っているまたは今後行いたいと考えている環境ビジネス【資本金別・主業別】"
"0003290944","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","7680","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-1-2","地域別統計表 現在行っているまたは今後行いたいと考えている環境ビジネス","14","司法・安全・環境","05","環境","環境経済観測調査","地域別統計表","現在行っているまたは今後行いたいと考えている環境ビジネス"
"0003290926","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","24000","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-1-3","統計表 現在行っているまたは今後行いたいと考えている環境ビジネス【全規模合計・主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","現在行っているまたは今後行いたいと考えている環境ビジネス【全規模合計・主業別】"
"0003318669","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","4800","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-2","地域別統計表 今後の環境ビジネス実施意向【主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","地域別統計表","今後の環境ビジネス実施意向【主業別】"
"0003290927","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","6408","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-3-1","統計表 新規展開または拡充をしたいと考えている環境ビジネス【全規模合計・地域別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","新規展開または拡充をしたいと考えている環境ビジネス【全規模合計・地域別】"
"0003290928","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","4434","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-3-2","統計表 新規展開または拡充をしたいと考えている環境ビジネス【全規模合計・実施予定年度別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","新規展開または拡充をしたいと考えている環境ビジネス【全規模合計・実施予定年度別】"
"0003318663","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","2869","2019-03-16","","00650204","環境経済観測調査","00650","環境省","2-4","統計表 環境ビジネスを今後行いたいと考えている要因","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","環境ビジネスを今後行いたいと考えている要因"
"0003290930","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","29396","2019-03-16","","00650204","環境経済観測調査","00650","環境省","3","統計表 ビジネス全体の業況及び業界の需要【資本金別・主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","ビジネス全体の業況及び業界の需要【資本金別・主業別】"
"0003290946","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","56973","2019-03-16","","00650204","環境経済観測調査","00650","環境省","3","地域別統計表 ビジネス全体の業況及び業界の需要【主業別】","14","司法・安全・環境","05","環境","環境経済観測調査","地域別統計表","ビジネス全体の業況及び業界の需要【主業別】"
"0003318664","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","7634","2019-03-16","","00650204","環境経済観測調査","00650","環境省","3-1","統計表 ビジネス全体の業況が「良い」要因【環境ビジネス別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","ビジネス全体の業況が「良い」要因【環境ビジネス別】"
"0003318665","環境経済観測調査","半期","201707-201712","2019-03-15","0","該当なし","6288","2019-03-16","","00650204","環境経済観測調査","00650","環境省","3-2","統計表 ビジネス全体の業況が「悪い」要因【環境ビジネス別】","14","司法・安全・環境","05","環境","環境経済観測調査","統計表","ビジネス全体の業況が「悪い」要因【環境ビジネス別】"
