"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0003227806","新規就農者調査 確報","年次","201701-201712","2019-11-29","0","全国","1332","2019-11-29","","00500236","新規就農者調査","00500","農林水産省","1","統計表 1 年齢別就農形態別新規就農者数","04","農林水産業","01","農業","新規就農者調査","確報","統計表","1 年齢別就農形態別新規就農者数","注：１ 平成22年の「新規参入者」は東日本大震災の影響で調査不能となった岩手県、宮城県及び福島県の全域並びに青森県の一部地域を除いて集計した数値である。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;２  平成23～26年調査結果は、東日本大震災の影響で調査不能となった福島県の一部地域を除いて集計した数値である。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;３ 平成27～28年の新規自営農業就農者及び新規雇用就農者の数値には、本調査の母集団としている2015年農林業センサスにおいて、東日本大震災の影響で福島県の一部地域の調査を実施できなかったため、当該地域は含まれていない。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;４ 平成24年調査より、年齢区分「40～49（歳）」を「40～44（歳）」、「45～49（歳）」に変更した。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;５ 平成26年調査から、新規参入者については、従来の「経営の責任者」に加え、新たに「共同経営者」を含めた。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;６ 平成27年の新規参入者は、熊本地震の影響で調査票の回収が不能となった熊本県の４農業委員会（市区町村）を除いて集計した数値である。",""
"0003227817","新規就農者調査 確報","年次","201101-201112","2018-08-31","0","全国","54","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","1","参考値 1 年齢別就農形態別新規就農者数_新規参入者","04","農林水産業","01","農業","新規就農者調査","確報","参考値","1 年齢別就農形態別新規就農者数_新規参入者","注：平成21年及び平成23年調査結果の「新規参入者」から平成22年調査において東日本大震災の影響で調査不能となった岩手県、宮城県及び福島県の全域並びに青森県の一部地域を除いて集計した参考値である。",""
"0003227800","新規就農者調査 確報","年次","200901-200912","2018-08-31","0","全国","216","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","10","統計表 （参考）新たに自営農業が主となった世帯員の前年の就業状態別人数","04","農林水産業","01","農業","新規就農者調査","確報","統計表","（参考）新たに自営農業が主となった世帯員の前年の就業状態別人数","注：「新規自営農業就農者」は、新たに「自営農業」が主となった世帯員のうち、前年の就業状態が「農業以外の自営業」、「家事・育児」、「その他」であった者を除いた者である。",""
"0003227816","新規就農者調査 確報","年次","200801-200812","2018-08-31","0","全国","88","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","11","統計表 （参考）新規就農者の農業経営組織別分布割合","04","農林水産業","01","農業","新規就農者調査","確報","統計表","（参考）新規就農者の農業経営組織別分布割合","",""
"0003227802","新規就農者調査 確報","年次","200601-200612","2018-08-31","0","全国","12","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","12","統計表 1 年齢別新規就農者数","04","農林水産業","01","農業","新規就農者調査","確報","統計表","1 年齢別新規就農者数","",""
"0003227803","新規就農者調査 確報","年次","200601-200612","2018-08-31","0","全国","12","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","13","統計表 2 就農形態別新規就農者数","04","農林水産業","01","農業","新規就農者調査","確報","統計表","2 就農形態別新規就農者数","",""
"0003227813","新規就農者調査 確報","年次","200601-200612","2018-08-31","0","全国","81","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","14","統計表 3 年齢別自営農業就農者数","04","農林水産業","01","農業","新規就農者調査","確報","統計表","3 年齢別自営農業就農者数","",""
"0003227804","新規就農者調査 確報","年次","200601-200612","2018-08-31","0","全国","108","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","15","統計表 4 年齢雇用就農者数 従事している仕事の内容別","04","農林水産業","01","農業","新規就農者調査","確報","統計表","4 年齢雇用就農者数 従事している仕事の内容別","注：農作業以外の仕事とは、経理事務、出荷・運搬、自家生産農産物の加工、販路の開拓、営農資金の調達等をいう。",""
"0003227814","新規就農者調査 確報","年次","200601-200612","2018-08-31","0","全国","81","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","16","統計表 4 年齢別雇用就農者数 就業上の地位別","04","農林水産業","01","農業","新規就農者調査","確報","統計表","4 年齢別雇用就農者数 就業上の地位別","注：役員とは農業経営の責任を負っている者、または業務執行、会計監査等の権限を有する者をいい、構成員とは任意組織等の法人格を有さない組織で経営に関与している者をいう",""
"0003227805","新規就農者調査 確報","年次","200601-200612","2018-08-31","0","全国","12","2019-11-08","","00500236","新規就農者調査","00500","農林水産省","17","統計表 5 年齢別新規参入者数","04","農林水産業","01","農業","新規就農者調査","確報","統計表","5 年齢別新規参入者数","",""
