"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE"
"0003217768","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","325","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","1","集落営農実態調査  全国都道府県別統計 継続等区分別集落営農数","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","継続等区分別集落営農数","","","","",""
"0003217830","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","372","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","1","集落営農実態調査  累年統計 集落営農数、現況集積面積等（平成17年５月１日現在）","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  累年統計","集落営農数、現況集積面積等（平成17年５月１日現在）","","","","",""
"0003217862","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","450","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","1","集落営農実態調査  全国農業地域別統計 集落営農数、現況集積面積等 農業地域類型別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国農業地域別統計","集落営農数、現況集積面積等","農業地域類型別","","","",""
"0003217863","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","270","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","1","集落営農実態調査  全国農業地域別統計 集落営農数、現況集積面積等 農産物の生産・販売の有無別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国農業地域別統計","集落営農数、現況集積面積等","農産物の生産・販売の有無別","","","",""
"0003217864","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","270","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","1","集落営農実態調査  全国農業地域別統計 集落営農数、現況集積面積等 構成農家における認定農業者の参加の有無別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国農業地域別統計","集落営農数、現況集積面積等","構成農家における認定農業者の参加の有無別","","","",""
"0003217865","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","135","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","1","集落営農実態調査結果を活用した2015農林業センサス（農山村地域調査）の組替集計 実行組合のある農業集落数","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査結果を活用した2015農林業センサス（農山村地域調査）の組替集計","実行組合のある農業集落数","","","","",""
"0003217778","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","186","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","10","集落営農実態調査  全国都道府県別統計 規約・定款の整備状況別集落営農数","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","規約・定款の整備状況別集落営農数","","","","",""
"0003217839","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","372","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","10","集落営農実態調査  累年統計 集落営農数、現況集積面積等（平成26年２月１日現在）","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  累年統計","集落営農数、現況集積面積等（平成26年２月１日現在）","","","","",""
"0003217779","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","372","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","11","集落営農実態調査  全国都道府県別統計 集落営農を構成する農業集落数別集落営農数","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","集落営農を構成する農業集落数別集落営農数","","","","",""
"0003217840","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","372","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","11","集落営農実態調査  累年統計 集落営農数、現況集積面積等（平成27年２月１日現在）","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  累年統計","集落営農数、現況集積面積等（平成27年２月１日現在）","","","","",""
"0003217800","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","558","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","12","集落営農実態調査  全国都道府県別統計 構成農家数別集落営農数及び認定農業者が参加している集落営農数 計","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","構成農家数別集落営農数及び認定農業者が参加している集落営農数","計","","","",""
"0003217801","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","558","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","12","集落営農実態調査  全国都道府県別統計 構成農家数別集落営農数及び認定農業者が参加している集落営農数 法人","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","構成農家数別集落営農数及び認定農業者が参加している集落営農数","法人","","","",""
"0003217802","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","558","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","12","集落営農実態調査  全国都道府県別統計 構成農家数別集落営農数及び認定農業者が参加している集落営農数 非法人","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","構成農家数別集落営農数及び認定農業者が参加している集落営農数","非法人","","","",""
"0003217841","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","372","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","12","集落営農実態調査  累年統計 集落営農数、現況集積面積等（平成28年２月１日現在）","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  累年統計","集落営農数、現況集積面積等（平成28年２月１日現在）","","","","",""
"0003217803","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","496","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","13","集落営農実態調査  全国都道府県別統計 構成農家数割合（集落内の総農家数に占める構成農家数の割合）別集落営農数","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","構成農家数割合（集落内の総農家数に占める構成農家数の割合）別集落営農数","","","","",""
"0003217804","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","434","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","14","集落営農実態調査  全国都道府県別統計 主たる従事者数別集落営農数","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","主たる従事者数別集落営農数","","","","",""
"0003217805","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","496","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","15","集落営農実態調査  全国都道府県別統計 現況集積面積規模別集落営農数 計 経営耕地面積規模別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","現況集積面積規模別集落営農数","計","経営耕地面積規模別","","",""
"0003217806","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","496","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","15","集落営農実態調査  全国都道府県別統計 現況集積面積規模別集落営農数 計 農作業受託面積規模別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","現況集積面積規模別集落営農数","計","農作業受託面積規模別","","",""
"0003217807","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","496","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","15","集落営農実態調査  全国都道府県別統計 現況集積面積規模別集落営農数 計 経営耕地面積＋農作業受託面積規模別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","現況集積面積規模別集落営農数","計","経営耕地面積＋農作業受託面積規模別","","",""
"0003217808","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-01-19","0","該当なし","496","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","15","集落営農実態調査  全国都道府県別統計 現況集積面積規模別集落営農数 法人 経営耕地面積規模別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","現況集積面積規模別集落営農数","法人","経営耕地面積規模別","","",""
"0003217809","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","496","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","15","集落営農実態調査  全国都道府県別統計 現況集積面積規模別集落営農数 法人 農作業受託面積規模別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","現況集積面積規模別集落営農数","法人","農作業受託面積規模別","","",""
"0003217810","集落営農実態調査 確報 平成28年集落営農実態調査報告書","年次","201601-201612","2017-06-01","0","該当なし","496","2020-02-13","","00500238","集落営農実態調査","00500","農林水産省","15","集落営農実態調査  全国都道府県別統計 現況集積面積規模別集落営農数 法人 経営耕地面積＋農作業受託面積規模別","04","農林水産業","01","農業","集落営農実態調査","確報","平成28年集落営農実態調査報告書","集落営農実態調査  全国都道府県別統計","現況集積面積規模別集落営農数","法人","経営耕地面積＋農作業受託面積規模別","","",""
