"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0004017649","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","1","港湾別、事業の種類別事業所数（複数回答）","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、事業の種類別事業所数（複数回答）"
"0004017650","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","10","港湾別、定年年齢階級別事業所数","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、定年年齢階級別事業所数"
"0004017651","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","11","事業所規模別、定年年齢階級別事業所数","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","事業所規模別、定年年齢階級別事業所数"
"0004017652","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","12","港湾別、退職金制度の有無別事業所の割合","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、退職金制度の有無別事業所の割合"
"0004017653","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","13","事業所規模別、退職金制度の有無別事業所の割合","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","事業所規模別、退職金制度の有無別事業所の割合"
"0004017654","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","14","港湾別、継続雇用制度導入の割合","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、継続雇用制度導入の割合"
"0004017655","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","15","事業所規模別、継続雇用制度導入の割合","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","事業所規模別、継続雇用制度導入の割合"
"0004017656","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","16","港湾別、学歴別定年退職金額","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、学歴別定年退職金額"
"0004017657","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","17","事業所規模別、学歴別定年退職金額","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","事業所規模別、学歴別定年退職金額"
"0004017658","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","18","港湾別、勤続年数階級別労働者割合","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、勤続年数階級別労働者割合"
"0004017659","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","19","事業所規模別、勤続年数階級別労働者割合","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","事業所規模別、勤続年数階級別労働者割合"
"0004017660","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","2","港湾別、規模別事業所数","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、規模別事業所数"
"0004017661","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","20","港湾別、賃金形態別労働者割合","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、賃金形態別労働者割合"
"0004017662","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","21","事業所規模別、賃金形態別労働者割合","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","事業所規模別、賃金形態別労働者割合"
"0004017663","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-01","0","該当なし","0","2024-09-01","","00450241","港湾運送事業雇用実態調査","00450","厚生労働省","22","港湾別、不就労日の通常賃金日額に対する割合階級別労働者数","03","労働・賃金","03","雇用","平成３０年港湾運送事業雇用実態調査","港湾別、不就労日の通常賃金日額に対する割合階級別労働者数"
