"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY3","TITLE"
"0003410051","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","8064","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","1","総合農協統計表 組合員数及び組合員戸数累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","組合員数及び組合員戸数累年統計","","","","","","",""
"0003375324","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","6048","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","2","総合農協統計表 正組合員戸数別組合数累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","正組合員戸数別組合数累年統計","","","","","","",""
"0003375325","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","17472","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","3","総合農協統計表 組合役職員数累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","組合役職員数累年統計","","","","","","",""
"0003375326","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","14784","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","4","総合農協統計表 貸借対照表累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","貸借対照表累年統計","","","","","","",""
"0003408614","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","19485","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","5","総合農協統計表 損益計算書累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","損益計算書累年統計","","","","","","",""
"0003375328","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","80640","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","6","総合農協統計表 購買事業の内訳（総額）累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","購買事業の内訳（総額）累年統計","","","","","","",""
"0003375329","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","1680","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","7","総合農協統計表 購買事業の内訳（１組合当たり平均）累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","購買事業の内訳（１組合当たり平均）累年統計","","","","","","",""
"0003404290","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","45696","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","8","総合農協統計表 販売事業の内訳（総額）累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","販売事業の内訳（総額）累年統計","","","","","","",""
"0003404291","農業協同組合及び同連合会一斉調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","952","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","9","総合農協統計表 販売事業の内訳（1組合当たり平均）累年統計","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","長期累年","総合農協統計表","販売事業の内訳（1組合当たり平均）累年統計","","","","","","",""
"0003279931","農業協同組合及び同連合会一斉調査 確報 農業協同組合連合会統計表 平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","-","201604-201703","2019-02-04","0","該当なし","63","2023-03-07","","00500602","農業協同組合及び同連合会一斉調査","00500","農林水産省","10","統計表（連合会別） 補助金・助成金 年間受入額 信連、経済連、厚生連","07","企業・家計・経済","01","企業活動","農業協同組合及び同連合会一斉調査","確報","統計表（連合会別）","補助金・助成金","農業協同組合連合会統計表","平成28事業年度農業協同組合連合会統計表（都道府県区域連合会の部）","年間受入額","信連、経済連、厚生連","","",""
