"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE"
"0003156764","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","80","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 腐朽・破損の有無（2区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","腐朽・破損の有無（2区分）",""
"0003156765","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","100","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 所有者の年齢（7区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","所有者の年齢（7区分）",""
"0003156766","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","80","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 所有者の住んでいる住宅（5区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","所有者の住んでいる住宅（5区分）",""
"0003156800","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","50","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 市町村の属性（4区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","市町村の属性（4区分）",""
"0003156801","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","70","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 敷地に接している道路の幅員（6区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","敷地に接している道路の幅員（6区分）",""
"0003156802","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","110","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 建築時期（8区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","建築時期（8区分）",""
"0003156803","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","90","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 主な管理者（6区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","主な管理者（6区分）",""
"0003156804","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","70","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 管理の頻度（5区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","管理の頻度（5区分）",""
"0003156820","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","60","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 構造（5区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","構造（5区分）",""
"0003156821","平成26年空家実態調査","-","201401-201412","2016-12-28","0","該当なし","80","2017-03-08","","00600640","空き家所有者実態調査","00600","国土交通省","1","１　調査対象住宅の所有状況と調査時点での居住状況 調査対象住宅の所有状況（8区分） 所有者の自宅等からの距離（5区分）","08","住宅・土地・建設","01","住宅・土地","平成26年空家実態調査","１　調査対象住宅の所有状況と調査時点での居住状況","調査対象住宅の所有状況（8区分）","所有者の自宅等からの距離（5区分）",""
