"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME"
"0004013460","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-03-01","0","全国","48","2024-03-01","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","1","食料の困窮経験（時系列データ）","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","食料の困窮経験（時系列データ）"
"0004022103","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-11-22","0","全国","600","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","10","生活における相対的剥奪の状況，等価可処分所得階級別","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","生活における相対的剥奪の状況，等価可処分所得階級別"
"0004022104","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-11-22","0","全国","2000","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","11","生活における相対的剥奪の状況，世帯タイプ別","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","生活における相対的剥奪の状況，世帯タイプ別"
"0004022105","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-11-22","0","全国","56","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","12","現在の暮らし向き（時系列データ）","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","現在の暮らし向き（時系列データ）"
"0004022106","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-11-22","0","全国","672","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","13","現在の暮らし向き，性・年齢階級別","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","現在の暮らし向き，性・年齢階級別"
"0004022107","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-11-22","0","全国","182","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","14","現在の暮らし向き，等価可処分所得階級別","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","現在の暮らし向き，等価可処分所得階級別"
"0004022108","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-11-22","0","全国","588","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","15","現在の暮らし向き，世帯タイプ別","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","現在の暮らし向き，世帯タイプ別"
"0004013466","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-03-01","0","全国","0","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","16","普段の会話頻度（時系列データ）","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","普段の会話頻度（時系列データ）"
"0004022109","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-11-22","0","全国","768","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","17","普段の会話頻度，性・年齢階級別","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","普段の会話頻度，性・年齢階級別"
"0004022110","2022年 生活と支え合いに関する調査 2022年 生活と支え合いに関する調査","-","202207","2024-11-22","0","全国","208","2024-11-22","","00450433","社会保障・人口問題基本調査（生活と支え合いに関する調査）","00450","厚生労働省","18","普段の会話頻度，等価可処分所得階級別","15","社会保障・衛生","01","社会保障","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","普段の会話頻度，等価可処分所得階級別"
