"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003339992","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","A1　あなたの性別は次のどちらですか。あてはまる番号に1つだけ○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","164","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","A1　あなたの性別は次のどちらですか。あてはまる番号に1つだけ○をつけてください。",""
"0003339993","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","A2　あなたは、今、何歳ですか。あてはまる番号に1つだけ○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","451","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","A2　あなたは、今、何歳ですか。あてはまる番号に1つだけ○をつけてください。",""
"0003339994","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","A3-ア　あなたは、今、学校に通ったり、働いたりしていますか。あてはまる番号に1つだけ○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","533","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","A3-ア　あなたは、今、学校に通ったり、働いたりしていますか。あてはまる番号に1つだけ○をつけてください。",""
"0003339995","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","A3-イ　あなたが最後に通った学校(中退を含む)はどこですか。あてはまる番号に1つだけ○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","205","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","A3-イ　あなたが最後に通った学校(中退を含む)はどこですか。あてはまる番号に1つだけ○をつけてください。","「A3-ア　あなたは、今、学校に通ったり、働いたりしていますか。あてはまる番号に1つだけ○をつけてください。」で「10. 働いている(定時制高校生を除く)」又は「11. 特に仕事をしたり学校に通ったりはしていない」のいずれかに○をつけた人を対象とした設問。"
"0003339996","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","A4　次の中で、あなたが今、一緒に住んでいるのは誰ですか。あてはまる番号すべてに○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","533","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","A4　次の中で、あなたが今、一緒に住んでいるのは誰ですか。あてはまる番号すべてに○をつけてください。",""
"0003339997","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","○A4　同居の家族構成","年度次","199804-199903","2020-03-09","0","該当なし","451","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","○A4　同居の家族構成",""
"0003339998","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","○A4　きょうだいの有無","年度次","199804-199903","2020-03-09","0","該当なし","164","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","○A4　きょうだいの有無",""
"0003339999","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","A5　あなたは、自分用に次のものがありますか。あてはまる番号すベてに○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","738","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","A5　あなたは、自分用に次のものがありますか。あてはまる番号すベてに○をつけてください。",""
"0003340001","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","A7　あなたの家庭について、どのように思いますか。次のア、イの事柄について、それぞれあてはまる方に1つずつ○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","205","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","A7　あなたの家庭について、どのように思いますか。次のア、イの事柄について、それぞれあてはまる方に1つずつ○をつけてください。","表題の「ア、イ」は以下の内容を指す。<br>ア　家庭の雰囲気は暖かい<br>イ　親は私のことを信頼している"
"0003340002","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","B1　あなたが現在よくつきあっている親しい友達は、何人くらいいますか。あてはまる番号に1つだけ○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","369","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","B1　あなたが現在よくつきあっている親しい友達は、何人くらいいますか。あてはまる番号に1つだけ○をつけてください。",""
"0003340003","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","B2　その友達は、あなたと同じ年の人ですか、それとも年上の人や年下の人がいますか。　あてはまる番号に1つだけ○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","246","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","B2　その友達は、あなたと同じ年の人ですか、それとも年上の人や年下の人がいますか。　あてはまる番号に1つだけ○をつけてください。","「B1　あなたが現在よくつきあっている親しい友達は、何人くらいいますか。あてはまる番号に1つだけ○をつけてください。」で「2. 1～2人」～「7. 20人以上」と答えた、親しい友達がいる人を対象とした設問。"
"0003340004","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","○B2　友人の年齢(全数ベース)","年度次","199804-199903","2020-03-09","0","該当なし","287","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","○B2　友人の年齢(全数ベース)",""
"0003340005","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","B3　その友達は、主にどういう人ですか。あてはまる番号すべてに○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","492","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","B3　その友達は、主にどういう人ですか。あてはまる番号すべてに○をつけてください。","「B1　あなたが現在よくつきあっている親しい友達は、何人くらいいますか。あてはまる番号に1つだけ○をつけてください。」で「2. 1～2人」～「7. 20人以上」と答えた、親しい友達がいる人を対象とした設問。"
"0003340006","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","○B3　友人の種類(全数べ一ス)","年度次","199804-199903","2020-03-09","0","該当なし","533","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","○B3　友人の種類(全数べ一ス)",""
"0003340007","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","B4　友達と一緒に過ごす時、主にどんなことをしますか。あてはまる番号すべてに○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","615","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","B4　友達と一緒に過ごす時、主にどんなことをしますか。あてはまる番号すべてに○をつけてください。",""
"0003340008","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","B5　あなたは友達と一緒にいる時、どんな様子ですか。","年度次","199804-199903","2020-03-09","0","該当なし","451","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","B5　あなたは友達と一緒にいる時、どんな様子ですか。",""
"0003340009","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","B6　最近1年ぐらいの間に、あなたの周りでいじめがありましたか。いじめがあったとき、あなたはそれにどのようにかかわっていましたか。あてはまる番号すべてに○をつけてください。","年度次","199804-199903","2020-03-09","0","該当なし","656","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","B6　最近1年ぐらいの間に、あなたの周りでいじめがありましたか。いじめがあったとき、あなたはそれにどのようにかかわっていましたか。あてはまる番号すべてに○をつけてください。",""
"0003340010","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","B7　あなたがつきあっている人の中に、次のような人がいますか。","年度次","199804-199903","2020-03-09","0","該当なし","369","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","B7　あなたがつきあっている人の中に、次のような人がいますか。",""
"0003340011","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","C1　あなたの毎日の生活について答えてください。次のアからキまでの事柄について、それぞれあてはまる番号に1つずつＯをつけてください。　ア　朝起きるとき、自分で起きられますか。","年度次","199804-199903","2020-03-09","0","該当なし","246","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","C1　あなたの毎日の生活について答えてください。次のアからキまでの事柄について、それぞれあてはまる番号に1つずつＯをつけてください。　ア　朝起きるとき、自分で起きられますか。",""
"0003340012","非行原因に関する総合的研究調査 青少年（12歳以上）に対する質問","C1　あなたの毎日の生活について答えてください。次のアからキまでの事柄について、それぞれあてはまる番号に1つずつＯをつけてください。　イ　朝起きた時、家族に自分からあいさつをしますか。","年度次","199804-199903","2020-03-09","0","該当なし","205","2020-03-10","","00100104","非行原因に関する総合的研究調査","00170","こども家庭庁","14","司法・安全・環境","02","犯罪","非行原因に関する総合的研究調査","青少年（12歳以上）に対する質問","C1　あなたの毎日の生活について答えてください。次のアからキまでの事柄について、それぞれあてはまる番号に1つずつＯをつけてください。　イ　朝起きた時、家族に自分からあいさつをしますか。",""
