"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003060191","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","21910367","2024-06-03","","00350600","法人企業統計調査","00350","財務省","1","時系列データ 金融業、保険業以外の業種(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","金融業、保険業以外の業種(原数値)"
"0003060791","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","7185071","2023-09-02","","00350600","法人企業統計調査","00350","財務省","1","時系列データ 金融業、保険業以外の業種(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","金融業、保険業以外の業種(原数値)"
"0003061945","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","7350","2023-09-02","","00350600","法人企業統計調査","00350","財務省","2","時系列データ 全産業(金融業、保険業を含む)(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","全産業(金融業、保険業を含む)(原数値)"
"0003061946","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","26460","2024-06-03","","00350600","法人企業統計調査","00350","財務省","2","時系列データ 全産業(金融業、保険業を含む)(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","全産業(金融業、保険業を含む)(原数値)"
"0003061947","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","7560","2023-09-02","","00350600","法人企業統計調査","00350","財務省","3","時系列データ 金融業、保険業(集約)(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","金融業、保険業(集約)(原数値)"
"0003061948","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","26460","2024-06-03","","00350600","法人企業統計調査","00350","財務省","3","時系列データ 金融業、保険業(集約)(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","金融業、保険業(集約)(原数値)"
"0003060192","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","44100","2024-06-03","","00350600","法人企業統計調査","00350","財務省","3-1","時系列データ 銀行業(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","銀行業(原数値)"
"0003060824","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","13125","2023-09-02","","00350600","法人企業統計調査","00350","財務省","3-1","時系列データ 銀行業(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","銀行業(原数値)"
"0003060193","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","52920","2024-06-03","","00350600","法人企業統計調査","00350","財務省","3-2","時系列データ 貸金業、クレジットカード業等非預金信用機関(原数値)","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","貸金業、クレジットカード業等非預金信用機関(原数値)"
"0003060825","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","17745","2023-09-02","","00350600","法人企業統計調査","00350","財務省","3-2","時系列データ 貸金業、クレジットカード業等非預金信用機関（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","貸金業、クレジットカード業等非預金信用機関（原数値）"
"0003060194","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","47609","2024-06-03","","00350600","法人企業統計調査","00350","財務省","3-3","時系列データ 金融商品取引業（第一種金融商品取引業であって有価証券関連業に限る）（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","金融商品取引業（第一種金融商品取引業であって有価証券関連業に限る）（原数値）"
"0003060826","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","14590","2023-09-02","","00350600","法人企業統計調査","00350","財務省","3-3","時系列データ 金融商品取引業（第一種金融商品取引業であって有価証券関連業に限る）（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","金融商品取引業（第一種金融商品取引業であって有価証券関連業に限る）（原数値）"
"0003060221","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","54180","2024-06-03","","00350600","法人企業統計調査","00350","財務省","3-4","時系列データ その他の金融商品取引業、商品先物取引業（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","その他の金融商品取引業、商品先物取引業（原数値）"
"0003060827","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","18480","2023-09-02","","00350600","法人企業統計調査","00350","財務省","3-4","時系列データ その他の金融商品取引業、商品先物取引業（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","その他の金融商品取引業、商品先物取引業（原数値）"
"0003060222","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","70556","2024-06-03","","00350600","法人企業統計調査","00350","財務省","3-5","時系列データ 保険業（その他の保険業を除く）（集約）（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","保険業（その他の保険業を除く）（集約）（原数値）"
"0003060828","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","17280","2023-09-02","","00350600","法人企業統計調査","00350","財務省","3-5","時系列データ 保険業（その他の保険業を除く）（集約）（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","保険業（その他の保険業を除く）（集約）（原数値）"
"0003060223","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","54180","2024-06-03","","00350600","法人企業統計調査","00350","財務省","3-6","時系列データ その他の保険業（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","その他の保険業（原数値）"
"0003060829","法人企業統計調査 時系列データ","年度次","202204-202303","2023-09-01","0","該当なし","18480","2023-09-02","","00350600","法人企業統計調査","00350","財務省","3-6","時系列データ その他の保険業（原数値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","その他の保険業（原数値）"
"0003066618","法人企業統計調査 時系列データ","四半期","202401-202403","2024-06-03","0","該当なし","2130","2024-06-03","","00350600","法人企業統計調査","00350","財務省","4","時系列データ 金融業、保険業以外の業種（季節調整値）","07","企業・家計・経済","01","企業活動","法人企業統計調査","時系列データ","時系列データ","金融業、保険業以外の業種（季節調整値）"
