"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0000160001","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","1920","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","001","全世帯・勤労者世帯（２），年次（２０），貯蓄・負債項目（４８），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），年次（２０），貯蓄・負債項目（４８），全国"
"0000160002","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","2280","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","002","全世帯・勤労者世帯（２），年次（２０），貯蓄・負債項目（５７），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），年次（２０），貯蓄・負債項目（５７），全国"
"0000160003","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","1920","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","003","全世帯・勤労者世帯（２），年次（２０），貯蓄・負債項目（４８），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），年次（２０），貯蓄・負債項目（４８），全国"
"0000160004","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","2226","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","004","全世帯・勤労者世帯（２），年間収入階級（２１），貯蓄・負債項目（５３），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），年間収入階級（２１），貯蓄・負債項目（５３），全国"
"0000160005","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","636","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","00501","全世帯・勤労者世帯（２），年間収入五分位階級（６），貯蓄・負債項目（５３），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），年間収入五分位階級（６），貯蓄・負債項目（５３），全国"
"0000160006","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","1166","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","00502","全世帯・勤労者世帯（２），年間収入十分位階級（１１），貯蓄・負債項目（５３），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），年間収入十分位階級（１１），貯蓄・負債項目（５３），全国"
"0000160007","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","795","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","006","全世帯（１），世帯主の職業（１５），貯蓄・負債項目（５３），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯（１），世帯主の職業（１５），貯蓄・負債項目（５３），全国"
"0000160008","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","1166","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","007","全世帯・勤労者世帯（２），世帯主の年齢階級（１１），貯蓄・負債項目（５３），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），世帯主の年齢階級（１１），貯蓄・負債項目（５３），全国"
"0000160009","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","742","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","008","全世帯・勤労者世帯（２），世帯人員（７），貯蓄・負債項目（５３），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），世帯人員（７），貯蓄・負債項目（５３），全国"
"0000160010","平成4年貯蓄動向調査","-","0","2007-08-29","0","該当なし","636","2007-08-31","","00200563","貯蓄動向調査","00200","総務省","009","全世帯・勤労者世帯（２），住居の所有関係（６），貯蓄・負債項目（５３），全国","07","企業・家計・経済","04","家計","平成4年貯蓄動向調査","全世帯・勤労者世帯（２），住居の所有関係（６），貯蓄・負債項目（５３），全国"
