"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4"
"0003411563","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","該当なし","31808","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","1","中巻 人口動態総覧，都道府県（特別区－指定都市再掲）別(1995年～)","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","中巻","人口動態総覧，都道府県（特別区－指定都市再掲）別(1995年～)","注：　比率については（e-Stat）用語及び比率の解説「比率の解説」を参照されたい。<br>　　１）　死産率は死産数を出産数（死産数に出生数を加えたもの）で除している。<br>　　２）　周産期死亡率は周産期死亡数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。<br>　　３）　妊娠満22週以後の死産率は、妊娠満22週以後の死産数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。",""
"0003411564","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","該当なし","197592","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","2","中巻 人口動態総覧（件数），都道府県・市部－郡部－保健所－市区町村別（都道府県・市区町村）(2006年～)","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","中巻","人口動態総覧（件数），都道府県・市部－郡部－保健所－市区町村別（都道府県・市区町村）(2006年～)","",""
"0003411565","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","該当なし","133092","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","2","中巻 人口動態総覧（件数），都道府県・市部－郡部－保健所－市区町村別（都道府県・保健所）(1995年～)","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","中巻","人口動態総覧（件数），都道府県・市部－郡部－保健所－市区町村別（都道府県・保健所）(1995年～)","",""
"0003411559","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","該当なし","1435","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","3-1-1","上巻 人口動態総覧及び平均発生間隔 －対前年比較－","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","上巻","人口動態総覧及び平均発生間隔 －対前年比較－","注：率の算出方法は、（e-Stat）用語及び比率の解説「比率の解説」を参照されたい。",""
"0003411560","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","該当なし","200","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","3-1-2","上巻 本報告において別掲とした件数","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","上巻","本報告において別掲とした件数","",""
"0003411561","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","該当なし","3267","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","3-2-1","上巻 年次別にみた人口動態総覧","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","上巻","年次別にみた人口動態総覧","数についての注 <br>　１）　1944年（昭和19年）～1946年（昭和21年）は戦災による資料喪失等資料不備のため省略した。1947年（昭和22年）～1972年（昭和47年）は沖縄県を含まない。<br>　　　　1948年（昭和23年）・1949年（昭和24年）の＊印は概数であり、1948年（昭和23年）には8 637、1949年（昭和24年）には3 255の自然死産・人工死産の不詳がある。<br>　２）　新生児死亡の1943年（昭和18年）以前は１か月未満の死亡である。また、新生児死亡の1943年（昭和18年）は樺太を含む数字である。<br>率についての注 <br>　１）　1944年（昭和19年）～1946年（昭和21年）は戦災による資料喪失等資料不備のため省略した。1947年（昭和22年）～1972年（昭和47年）は沖縄県を含まない。<br>　　　　1948年（昭和23年）・1949年（昭和24年）の＊印は概数による率である。<br>　２）　新生児死亡の1943年（昭和18年）以前は１か月未満の死亡である。<br>　３）　1920年（大正９年）～1966年（昭和41年）においては総人口（日本に在住する外国人を含む）を分母に用いている。<br>　４）　死産率は死産数を出産数（死産数に出生数を加えたもの）で除している。<br>　５）　周産期死亡率は周産期死亡数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。<br>　６）　妊娠満22週以後の死産率は、妊娠満22週以後の死産数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。<br>　７）　合計特殊出生率とは、15歳から49歳までの女性の年齢別出生率を合計したもので、１人の女性が仮にその年次の年齢別出生率で一生の間に生むとしたときの子ども数に相当する。<br>　",""
"0003411562","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","全国","15680","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","3-3-1","上巻 都道府県（特別区－指定都市再掲）別にみた人口動態総覧","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","上巻","都道府県（特別区－指定都市再掲）別にみた人口動態総覧","数についての注 <br>　１）　都道府県別の表章は出生は子の住所、死亡は死亡者の住所、死産は母の住所、婚姻は夫の住所、離婚は別居する前の住所による。<br>　２）　都道府県については総務省統計局「人口推計（各年10月１日現在）」の日本人人口、特別区及び指定都市については各指定都市及び東京都が推計した各年10月１日現在の総人口である。<br>率についての注 <br>　１）　死産率は死産数を出産数（死産数に出生数を加えたもの）で除している。<br>　２）　周産期死亡率は周産期死亡数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。<br>　３）　妊娠満22週以後の死産率は、妊娠満22週以後の死産数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。",""
"0003411562","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","市区町村","15680","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","3-3-1","上巻 都道府県（特別区－指定都市再掲）別にみた人口動態総覧","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","上巻","都道府県（特別区－指定都市再掲）別にみた人口動態総覧","数についての注 <br>　１）　都道府県別の表章は出生は子の住所、死亡は死亡者の住所、死産は母の住所、婚姻は夫の住所、離婚は別居する前の住所による。<br>　２）　都道府県については総務省統計局「人口推計（各年10月１日現在）」の日本人人口、特別区及び指定都市については各指定都市及び東京都が推計した各年10月１日現在の総人口である。<br>率についての注 <br>　１）　死産率は死産数を出産数（死産数に出生数を加えたもの）で除している。<br>　２）　周産期死亡率は周産期死亡数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。<br>　３）　妊娠満22週以後の死産率は、妊娠満22週以後の死産数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。",""
"0003411562","人口動態調査 人口動態統計 確定数 総覧","年次","202201-202212","2024-03-29","0","都道府県","15680","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","3-3-1","上巻 都道府県（特別区－指定都市再掲）別にみた人口動態総覧","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","総覧","上巻","都道府県（特別区－指定都市再掲）別にみた人口動態総覧","数についての注 <br>　１）　都道府県別の表章は出生は子の住所、死亡は死亡者の住所、死産は母の住所、婚姻は夫の住所、離婚は別居する前の住所による。<br>　２）　都道府県については総務省統計局「人口推計（各年10月１日現在）」の日本人人口、特別区及び指定都市については各指定都市及び東京都が推計した各年10月１日現在の総人口である。<br>率についての注 <br>　１）　死産率は死産数を出産数（死産数に出生数を加えたもの）で除している。<br>　２）　周産期死亡率は周産期死亡数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。<br>　３）　妊娠満22週以後の死産率は、妊娠満22週以後の死産数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。",""
"0003411627","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","全国","7968","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","1","中巻 出生数，都道府県（特別区－指定都市再掲）・市部－郡部・出生の場所別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，都道府県（特別区－指定都市再掲）・市部－郡部・出生の場所別","注：全国には住所地外国を含む。",""
"0003411627","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","市区町村","7968","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","1","中巻 出生数，都道府県（特別区－指定都市再掲）・市部－郡部・出生の場所別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，都道府県（特別区－指定都市再掲）・市部－郡部・出生の場所別","注：全国には住所地外国を含む。",""
"0003411627","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","都道府県","7968","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","1","中巻 出生数，都道府県（特別区－指定都市再掲）・市部－郡部・出生の場所別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，都道府県（特別区－指定都市再掲）・市部－郡部・出生の場所別","注：全国には住所地外国を含む。",""
"0003411636","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","該当なし","4224","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","10","中巻 出生数，出生時の世帯の主な仕事・母の年齢（５歳階級）・出生順位別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の世帯の主な仕事・母の年齢（５歳階級）・出生順位別","注：１）出生順位とは、同じ母親がこれまでに生んだ出生子の総数について数えた順序である。",""
"0003411637","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","全国","70560","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","11","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・都道府県（特別区－指定都市再掲）・性別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・都道府県（特別区－指定都市再掲）・性別","",""
"0003411637","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","市区町村","70560","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","11","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・都道府県（特別区－指定都市再掲）・性別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・都道府県（特別区－指定都市再掲）・性別","",""
"0003411637","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","都道府県","70560","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","11","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・都道府県（特別区－指定都市再掲）・性別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・都道府県（特別区－指定都市再掲）・性別","",""
"0003411638","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","該当なし","11088","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","12","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・母の年齢（５歳階級）・性別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・母の年齢（５歳階級）・性別","",""
"0003411639","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","該当なし","11088","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","13","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・性・出産順位別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・性・出産順位別","注：１）出産順位とは、同じ母親がこれまでに出産した児の総数(妊娠満22週以後の死産胎を含む)について、数えた順序である。",""
"0003411640","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","該当なし","15120","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","14","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・性・妊娠期間（４週区分・早期－正期－過期再掲）別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・性・妊娠期間（４週区分・早期－正期－過期再掲）別","",""
"0003411641","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","該当なし","11088","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","15","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，嫡出子－嫡出でない子・母の年齢（５歳階級）・性別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の体重（500g階級）；出生時の平均体重，嫡出子－嫡出でない子・母の年齢（５歳階級）・性別","",""
"0003411642","人口動態調査 人口動態統計 確定数 出生","年次","202201-202212","2024-03-29","0","全国","33600","2024-03-29","","00450011","人口動態調査","00450","厚生労働省","16","中巻 出生数，出生時の身長；出生時の平均身長，都道府県（特別区－指定都市再掲）・性別","02","人口・世帯","03","人口動態","人口動態調査","人口動態統計","確定数","出生","中巻","出生数，出生時の身長；出生時の平均身長，都道府県（特別区－指定都市再掲）・性別","",""
