"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY3","TITLE","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003171770","賃金構造基本統計調査","-","0","2017-03-31","0","該当なし","7968480","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","1","産業大分類、中分類（全国） 第１表の１","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","産業大分類、中分類（全国）","第１表の１","","","","","","",""
"0003172100","賃金構造基本統計調査","-","0","2017-03-31","0","該当なし","2096640","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","1","労働者の種類別（産業大分類・中分類）DB 第１表の２","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","労働者の種類別（産業大分類・中分類）DB","第１表の２","","","","","","",""
"0003426315","賃金構造基本統計調査","-","202001-202012","2024-03-27","0","全国","55680","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","1","一般_職種（小分類）DB","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","一般_職種（小分類）DB","","","","","","","",""
"0003458078","賃金構造基本統計調査","-","202001-202012","2024-03-27","0","全国","127296","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","1","企業規模5～9人DB第１表","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","企業規模5～9人DB第１表","","","","","","","",""
"0003426418","賃金構造基本統計調査","-","202001-202012","2024-03-27","0","全国","407160","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","10","一般_職種（小分類）_年齢階級、経験年数階級別DB","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","一般_職種（小分類）_年齢階級、経験年数階級別DB","","","","","","","",""
"0003426419","賃金構造基本統計調査","-","202001-202012","2024-03-27","0","全国","11232","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","11","一般_職種（大分類）_年齢階級、経験年数階級別DB","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","一般_職種（大分類）_年齢階級、経験年数階級別DB","","","","","","","",""
"0003426420","賃金構造基本統計調査","-","202001-202012","2024-03-27","0","全国","202176","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","12","一般_職種（大分類）_学歴、年齢階級、経験年数階級別DB","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","一般_職種（大分類）_学歴、年齢階級、経験年数階級別DB","","","","","","","",""
"0003439138","賃金構造基本統計調査","-","202001-202012","2024-03-27","0","全国","17496","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","13","一般_職種（大分類）_雇用形態、経験年数階級別DB","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","一般_職種（大分類）_雇用形態、経験年数階級別DB","","","","","","","",""
"0003447838","賃金構造基本統計調査","-","202001-202012","2024-03-27","0","全国","93960","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","14","一般_職種（小分類）_経験年数階級別DB","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","一般_職種（小分類）_経験年数階級別DB","","","","","","","",""
"0003447839","賃金構造基本統計調査","-","202001-202012","2024-03-27","0","全国","7776","2024-11-21","","00450091","賃金構造基本統計調査","00450","厚生労働省","15","一般_職種（大分類）_性、経験年数階級別DB","03","労働・賃金","02","賃金・労働条件","賃金構造基本統計調査","一般_職種（大分類）_性、経験年数階級別DB","","","","","","","",""
