"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003346052","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.1　DB×問5　【支所数】正社員の残業時間","-","201309","2020-03-27","0","該当なし","84","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.1　DB×問5　【支所数】正社員の残業時間"
"0003346053","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.3　問2×問5　【従業員規模・女性比率】正社員の平均的残業時間　役員における女性の有無（社外取締役含む）","-","201309","2020-03-27","0","該当なし","144","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.3　問2×問5　【従業員規模・女性比率】正社員の平均的残業時間　役員における女性の有無（社外取締役含む）"
"0003346054","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.3　問2×問5　【従業員規模・女性比率】正社員の平均的残業時間　管理職　正社員における女性の有無","-","201309","2020-03-27","0","該当なし","144","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.3　問2×問5　【従業員規模・女性比率】正社員の平均的残業時間　管理職　正社員における女性の有無"
"0003346055","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.2　問1×問5　【業種】正社員の平均的残業時間、NO.4　問1×問2×問5　【業種×従業員規模・女性比率】正社員の平均的残業時間　役員における女性の有無（社外取締役含む）","-","201309","2020-03-27","0","該当なし","240","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.2　問1×問5　【業種】正社員の平均的残業時間、NO.4　問1×問2×問5　【業種×従業員規模・女性比率】正社員の平均的残業時間　役員における女性の有無（社外取締役含む）"
"0003346056","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.2　問1×問5　【業種】正社員の平均的残業時間、NO.4　問1×問2×問5　【業種×従業員規模・女性比率】正社員の平均的残業時間　管理職　正社員における女性の有無","-","201309","2020-03-27","0","該当なし","240","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.2　問1×問5　【業種】正社員の平均的残業時間、NO.4　問1×問2×問5　【業種×従業員規模・女性比率】正社員の平均的残業時間　管理職　正社員における女性の有無"
"0003346057","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.5　問4×問5　【導入されている働き方に関する制度】正社員の平均的残業時間、NO.8　問1×問4×問5　【業種×導入されている働き方に関する制度】正社員の平均的残業時間","-","201309","2020-03-27","0","該当なし","300","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.5　問4×問5　【導入されている働き方に関する制度】正社員の平均的残業時間、NO.8　問1×問4×問5　【業種×導入されている働き方に関する制度】正社員の平均的残業時間"
"0003346058","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.6　問3×問5　【WLB推進組織有無】正社員の平均残業時間、NO.7　問1×問3×問5　【業種×WLB推進組織有無】正社員の平均的残業時間","-","201309","2020-03-27","0","該当なし","228","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.6　問3×問5　【WLB推進組織有無】正社員の平均残業時間、NO.7　問1×問3×問5　【業種×WLB推進組織有無】正社員の平均的残業時間"
"0003346059","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.9　問1×問16×問5　【業種×評価される社員像】正社員の平均的残業時間　残業や休日出勤せず、時間内に仕事を終え帰宅すること、NO.9　問1×問16×問5　【業種×評価される社員像】正社員の平均的残業時間","-","201309","2020-03-27","0","該当なし","300","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.9　問1×問16×問5　【業種×評価される社員像】正社員の平均的残業時間　残業や休日出勤せず、時間内に仕事を終え帰宅すること、NO.9　問1×問16×問5　【業種×評価される社員像】正社員の平均的残業時間"
"0003346060","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.10　問17×問5　【評価基準の周知範囲】正社員の平均的残業時間、NO.11　問1×問17×問5　【業種×評価基準の周知範囲】正社員の平均的残業時間","-","201309","2020-03-27","0","該当なし","360","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.10　問17×問5　【評価基準の周知範囲】正社員の平均的残業時間、NO.11　問1×問17×問5　【業種×評価基準の周知範囲】正社員の平均的残業時間"
"0003346061","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.12　問18×問5　【評価基準の周知方法】正社員の平均的残業時間、NO.13　問1×問18×問5　【業種×評価基準の周知方法】正社員の平均的残業時間","-","201309","2020-03-27","0","該当なし","600","2020-03-28","","00100202","企業のワーク・ライフ・バランスに関する調査","00100","内閣府","15","社会保障・衛生","03","社会福祉","企業のワーク・ライフ・バランスに関する調査","企業のワーク・ライフ・バランスに関する調査の各問回答データ NO.12　問18×問5　【評価基準の周知方法】正社員の平均的残業時間、NO.13　問1×問18×問5　【業種×評価基準の周知方法】正社員の平均的残業時間"
