"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003377718","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","30","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","1","ＯＦＦ－ＪＴ及び自己啓発支援への支出の有無別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","ＯＦＦ－ＪＴ及び自己啓発支援への支出の有無別企業構成比",""
"0003377719","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","660","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","1","産業、ＯＦＦ－ＪＴ及び自己啓発支援への支出の有無別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","産業、ＯＦＦ－ＪＴ及び自己啓発支援への支出の有無別企業構成比",""
"0003377720","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","150","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","1","企業規模、ＯＦＦ－ＪＴ及び自己啓発支援への支出の有無別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","企業規模、ＯＦＦ－ＪＴ及び自己啓発支援への支出の有無別企業構成比",""
"0003377721","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","180","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","1","正社員率階級、ＯＦＦ－ＪＴ及び自己啓発支援への支出の有無別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","正社員率階級、ＯＦＦ－ＪＴ及び自己啓発支援への支出の有無別企業構成比",""
"0003377722","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","24","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","2","ＯＦＦ－ＪＴ及び自己啓発支援に支出した費用の総額及び平均額、中央値、四分位","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","ＯＦＦ－ＪＴ及び自己啓発支援に支出した費用の総額及び平均額、中央値、四分位","平均は費用を支出している企業の平均である。"
"0003377723","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","528","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","2","産業別ＯＦＦ－ＪＴ及び自己啓発支援に支出した費用の総額及び平均額、中央値、四分位","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","産業別ＯＦＦ－ＪＴ及び自己啓発支援に支出した費用の総額及び平均額、中央値、四分位","平均は費用を支出している企業の平均である。"
"0003377724","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","120","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","2","企業規模別ＯＦＦ－ＪＴ及び自己啓発支援に支出した費用の総額及び平均額、中央値、四分位","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","企業規模別ＯＦＦ－ＪＴ及び自己啓発支援に支出した費用の総額及び平均額、中央値、四分位","平均は費用を支出している企業の平均である。"
"0003377725","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","144","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","2","正社員率階級別ＯＦＦ－ＪＴ及び自己啓発支援に支出した費用の総額及び平均額、中央値、四分位","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","正社員率階級別ＯＦＦ－ＪＴ及び自己啓発支援に支出した費用の総額及び平均額、中央値、四分位","平均は費用を支出している企業の平均である。"
"0003377726","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","24","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","3","ＯＦＦ－ＪＴに支出した費用階級別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","ＯＦＦ－ＪＴに支出した費用階級別企業構成比",""
"0003377727","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","528","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","3","産業、ＯＦＦ－ＪＴに支出した費用階級別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","産業、ＯＦＦ－ＪＴに支出した費用階級別企業構成比",""
"0003377728","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","120","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","3","企業規模、ＯＦＦ－ＪＴに支出した費用階級別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","企業規模、ＯＦＦ－ＪＴに支出した費用階級別企業構成比",""
"0003377729","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","144","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","3","正社員率階級、ＯＦＦ－ＪＴに支出した費用階級別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","正社員率階級、ＯＦＦ－ＪＴに支出した費用階級別企業構成比",""
"0003377730","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","24","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","4","自己啓発支援に支出した費用階級別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","自己啓発支援に支出した費用階級別企業構成比",""
"0003377731","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","528","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","4","産業、自己啓発支援に支出した費用階級別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","産業、自己啓発支援に支出した費用階級別企業構成比",""
"0003377732","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","120","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","4","企業規模、自己啓発支援に支出した費用階級別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","企業規模、自己啓発支援に支出した費用階級別企業構成比",""
"0003377733","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","144","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","4","正社員率階級、自己啓発支援に支出した費用階級別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","正社員率階級、自己啓発支援に支出した費用階級別企業構成比",""
"0003377734","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","144","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","5","能力開発の実績・見込み別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","能力開発の実績・見込み別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377735","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","3168","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","5","産業、能力開発の実績・見込み別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","産業、能力開発の実績・見込み別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377736","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","720","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","5","企業規模、能力開発の実績・見込み別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","企業規模、能力開発の実績・見込み別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377737","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","864","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","5","正社員率階級、能力開発の実績・見込み別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","正社員率階級、能力開発の実績・見込み別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377738","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","192","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","5","ＯＦＦ－ＪＴ費用及び自己啓発支援費用の実績、能力開発の実績・見込み別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","ＯＦＦ－ＪＴ費用及び自己啓発支援費用の実績、能力開発の実績・見込み別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377739","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","180","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","6","能力開発の考え方別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","能力開発の考え方別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377740","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","3960","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","6","産業、能力開発の考え方別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","産業、能力開発の考え方別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377741","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","900","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","6","企業規模、能力開発の考え方別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","企業規模、能力開発の考え方別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377742","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","1080","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","6","正社員率階級、能力開発の考え方別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","正社員率階級、能力開発の考え方別企業構成比","正社員が在籍している企業計・正社員以外が在籍している企業計をそれぞれ100とした割合である。"
"0003377743","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","18","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","事業内職業能力開発計画の作成状況別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","事業内職業能力開発計画の作成状況別企業構成比",""
"0003377744","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","396","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","産業、事業内職業能力開発計画の作成状況別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","産業、事業内職業能力開発計画の作成状況別企業構成比",""
"0003377745","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","90","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","企業規模、事業内職業能力開発計画の作成状況別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","企業規模、事業内職業能力開発計画の作成状況別企業構成比",""
"0003377746","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","108","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","正社員率階級、事業内職業能力開発計画の作成状況別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","正社員率階級、事業内職業能力開発計画の作成状況別企業構成比",""
"0003377747","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","18","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","職業能力開発推進者の選任状況、事業内職業能力開発計画の作成状況別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","職業能力開発推進者の選任状況、事業内職業能力開発計画の作成状況別企業構成比",""
"0003377748","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","15","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","事業内職業能力開発計画作成方法別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","事業内職業能力開発計画作成方法別企業構成比",""
"0003377749","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","330","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","産業、事業内職業能力開発計画作成方法別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","産業、事業内職業能力開発計画作成方法別企業構成比",""
"0003377750","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","75","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","企業規模、事業内職業能力開発計画作成方法別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","企業規模、事業内職業能力開発計画作成方法別企業構成比",""
"0003377751","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","90","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","正社員率階級、事業内職業能力開発計画作成方法別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","正社員率階級、事業内職業能力開発計画作成方法別企業構成比",""
"0003377752","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","15","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","7","職業能力開発推進者の選任状況、事業内職業能力開発計画作成方法別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","職業能力開発推進者の選任状況、事業内職業能力開発計画作成方法別企業構成比",""
"0003377753","能力開発基本調査 第3章　統計表 第1節　企業調査","年度次","0","2020-02-26","0","全国","18","2020-02-27","","00450451","能力開発基本調査","00450","厚生労働省","8","職業能力開発推進者の選任状況別企業構成比","07","企業・家計・経済","01","企業活動","能力開発基本調査","第3章　統計表","第1節　企業調査","職業能力開発推進者の選任状況別企業構成比",""
