"year","statcode"
"1956","00450071"
"1957","00450071"
"1958","00450071"
"1959","00450071"
"1960","00450071"
"1961","00450071"
"1962","00450071"
"1963","00450071"
"1964","00450071"
"1965","00450071"
"1966","00450071"
"1967","00450071"
"1968","00450071"
"1969","00450071"
"1970","00450071"
"1971","00450071"
"1972","00450071"
"1973","00450071"
"1974","00450071"
"1975","00450071"
"1976","00450071"
"1977","00450071"
"1978","00450071"
"1979","00450071"
"1980","00450071"
"1981","00450071"
"1982","00450071"
"1983","00450071"
"1984","00450071"
"1985","00450071"
"1986","00450071"
"1987","00450071"
"1988","00450071"
"1989","00450071"
"1990","00450071"
"1991","00450071"
"1992","00450071"
"1993","00450071"
"1994","00450071"
"1995","00450071"
"1996","00450071"
"1997","00450071"
"1998","00450071"
"1999","00450071"
"2000","00450071"
"2001","00450071"
"2002","00450071"
"2003","00450071"
"2004","00450071"
"2005","00450071"
"2006","00450071"
"2007","00450071"
"2008","00450071"
"2009","00450071"
"2010","00450071"
"2011","00450071"
"2012","00450071"
"2013","00450071"
"2014","00450071"
"2015","00450071"
"2016","00450071"
"2018","00450071"
"2016","00400201"
"1994","00400201"
"1996","00400201"
"1998","00400201"
"2000","00400201"
"2002","00400201"
"2004","00400201"
"2006","00400201"
"2008","00400201"
"2010","00400201"
"2012","00400201"
"2014","00400201"
"2017","00500248"
"2018","00500248"
"2019","00500248"
"2020","00500248"
"2021","00500248"
"2022","00500248"
"1980","00100409"
"1981","00100409"
"1982","00100409"
"1983","00100409"
"1984","00100409"
"1985","00100409"
"1986","00100409"
"1987","00100409"
"1988","00100409"
"1989","00100409"
"1990","00100409"
"1991","00100409"
"1992","00100409"
"1993","00100409"
"1994","00100409"
"1995","00100409"
"1996","00100409"
"1997","00100409"
"1998","00100409"
"1999","00100409"
"2000","00100409"
"2001","00100409"
"2002","00100409"
"2003","00100409"
"2004","00100409"
"2005","00100409"
"2006","00100409"
"2007","00100409"
"2008","00100409"
"2009","00100409"
"2010","00100409"
"2011","00100409"
"2012","00100409"
"2013","00100409"
"2014","00100409"
"2015","00100409"
"2016","00100409"
"2017","00100409"
"2018","00100409"
"2019","00100409"
"2020","00100409"
"2021","00100409"
"2022","00100409"
"2023","00100409"
"2024","00100409"
"1960","00600870"
"1961","00600870"
"1962","00600870"
"1963","00600870"
"1964","00600870"
"1965","00600870"
"1966","00600870"
"1967","00600870"
"1968","00600870"
"1969","00600870"
"1970","00600870"
"1971","00600870"
"1972","00600870"
"1973","00600870"
"1974","00600870"
"1975","00600870"
"1976","00600870"
"1977","00600870"
"1978","00600870"
"1979","00600870"
"1980","00600870"
"1981","00600870"
"1982","00600870"
"1983","00600870"
"1984","00600870"
"1985","00600870"
"1986","00600870"
"1987","00600870"
"1988","00600870"
"1989","00600870"
"1990","00600870"
"1991","00600870"
"1992","00600870"
"1993","00600870"
"1994","00600870"
"1995","00600870"
"1996","00600870"
"1997","00600870"
"1998","00600870"
"1999","00600870"
"2000","00600870"
"2001","00600870"
"2002","00600870"
"2003","00600870"
"2004","00600870"
"2005","00600870"
"2006","00600870"
"2007","00600870"
"2008","00600870"
"2009","00600870"
"2010","00600870"
"2011","00600870"
"2012","00600870"
"2013","00600870"
"2014","00600870"
"2015","00600870"
"2016","00600870"
"2017","00600870"
"2018","00600870"
"2019","00600870"
"2020","00600870"
"2021","00600870"
"2022","00600870"
"2023","00600870"
"2017","00450291"
"2005","00450291"
"2006","00450291"
"2011","00450291"
"2014","00450291"
"1995","00550510"
"1996","00550510"
"1997","00550510"
"1998","00550510"
"1999","00550510"
"2000","00550510"
"2001","00550510"
"2002","00550510"
"2003","00550510"
"2004","00550510"
"2005","00550510"
"2006","00550510"
"2007","00550510"
"2008","00550510"
"2009","00550510"
"2010","00550510"
"2011","00550510"
"2012","00550510"
"2013","00550510"
"2014","00550510"
"2015","00550510"
"2016","00550510"
"2017","00550510"
"2018","00550510"
"2019","00550510"
"2020","00550510"
"1920","00200521"
"1925","00200521"
"1930","00200521"
"1935","00200521"
"1940","00200521"
"1945","00200521"
"1947","00200521"
"1950","00200521"
"1955","00200521"
"1960","00200521"
"1965","00200521"
"1970","00200521"
"1975","00200521"
"1980","00200521"
"1985","00200521"
"1990","00200521"
"1995","00200521"
"2000","00200521"
"2005","00200521"
"2006","00200521"
"2010","00200521"
"2015","00200521"
"2020","00200521"
"1954","00350600"
"1955","00350600"
"1956","00350600"
"1957","00350600"
"1958","00350600"
"1959","00350600"
"1960","00350600"
"1961","00350600"
"1962","00350600"
"1963","00350600"
"1964","00350600"
"1965","00350600"
"1966","00350600"
"1967","00350600"
"1968","00350600"
"1969","00350600"
"1970","00350600"
"1971","00350600"
"1972","00350600"
"1973","00350600"
"1974","00350600"
"1975","00350600"
"1976","00350600"
"1977","00350600"
"1978","00350600"
"1979","00350600"
"1980","00350600"
"1981","00350600"
"1982","00350600"
"1983","00350600"
"1984","00350600"
"1985","00350600"
"1986","00350600"
"1987","00350600"
"1988","00350600"
"1989","00350600"
"1990","00350600"
"1991","00350600"
"1992","00350600"
"1993","00350600"
"1994","00350600"
"1995","00350600"
"1996","00350600"
"1997","00350600"
"1998","00350600"
"1999","00350600"
"2000","00350600"
"2001","00350600"
"2002","00350600"
"2003","00350600"
"2004","00350600"
"2005","00350600"
"2006","00350600"
"2007","00350600"
"2008","00350600"
"2009","00350600"
"2010","00350600"
"2011","00350600"
"2012","00350600"
"2013","00350600"
"2014","00350600"
"2015","00350600"
"2016","00350600"
"2017","00350600"
"2018","00350600"
"2019","00350600"
"2020","00350600"
"2021","00350600"
"2022","00350600"
"2023","00350600"
"2024","00350600"
"2003","00550200"
"2004","00550200"
"2005","00550200"
"2006","00550200"
"2007","00550200"
"2008","00550200"
"2009","00550200"
"2010","00550200"
"2011","00550200"
"2012","00550200"
"2013","00550200"
"2014","00550200"
"2015","00550200"
"2016","00550200"
"2017","00550200"
"2018","00550200"
"2019","00550200"
"2020","00550200"
"2021","00550200"
"2022","00550200"
"2016","00650204"
"2017","00650204"
"2015","00650204"
"2016","00553010"
"2014","00553010"
"2015","00553010"
"2016","00501005"
"2017","00501005"
"2018","00501005"
"2019","00501005"
"2020","00501005"
"2021","00501005"
"2022","00501005"
"2015","00501005"
"2004","00350610"
"2005","00350610"
"2006","00350610"
"2007","00350610"
"2008","00350610"
"2009","00350610"
"2010","00350610"
"2011","00350610"
"2012","00350610"
"2013","00350610"
"2014","00350610"
"2015","00350610"
"2016","00350610"
"2017","00350610"
"2018","00350610"
"2019","00350610"
"2020","00350610"
"2021","00350610"
"2022","00350610"
"2023","00350610"
"2024","00350610"
"2016","00450391"
"2017","00450391"
"2018","00450391"
"2019","00450391"
"2020","00450391"
"2021","00450391"
"2022","00450391"
"2015","00450391"
"2016","00450397"
"2017","00450397"
"2018","00450397"
"2019","00450397"
"2015","00450397"
"2017","00550320"
"2023","00550320"
"2008","00200211"
"2013","00200211"
"2016","00400601"
"2017","00400601"
"2018","00400601"
"2015","00400601"
"2000","00200571"
"2001","00200571"
"2002","00200571"
"2003","00200571"
"2004","00200571"
"2005","00200571"
"2006","00200571"
"2007","00200571"
"2008","00200571"
"2009","00200571"
"2010","00200571"
"2011","00200571"
"2012","00200571"
"2013","00200571"
"2014","00200571"
"2015","00200571"
"2016","00200571"
"2017","00200571"
"2018","00200571"
"2019","00200571"
"2020","00200571"
"2021","00200571"
"2022","00200571"
"2023","00200571"
"2024","00200571"
"2016","00551005"
"2009","00551005"
"2010","00551005"
"2011","00551005"
"2012","00551005"
"2013","00551005"
"2014","00551005"
"2015","00551005"
"2017","00200532"
"1987","00200532"
"2022","00200532"
"1992","00200532"
"1997","00200532"
"2002","00200532"
"2007","00200532"
"2012","00200532"
"2014","00550035"
"2015","00550035"
"2001","00100402"
"2002","00100402"
"2003","00100402"
"2004","00100402"
"2005","00100402"
"2006","00100402"
"2007","00100402"
"2008","00100402"
"2009","00100402"
"2010","00100402"
"2011","00100402"
"2012","00100402"
"2013","00100402"
"2014","00100402"
"2015","00100402"
"2016","00100402"
"2017","00100402"
"2018","00100402"
"2019","00100402"
"2020","00100402"
"2021","00100402"
"2016","00551040"
"2006","00551040"
"2008","00551040"
"2010","00551040"
"2012","00551040"
"2014","00551040"
"2016","00502003"
"2017","00502003"
"2018","00502003"
"2019","00502003"
"2020","00502003"
"2021","00502003"
"2022","00502003"
"2007","00502003"
"2008","00502003"
"2009","00502003"
"2010","00502003"
"2011","00502003"
"2012","00502003"
"2013","00502003"
"2014","00502003"
"2015","00502003"
"1930","00552020"
"1935","00552020"
"1940","00552020"
"1945","00552020"
"1950","00552020"
"1951","00552020"
"1952","00552020"
"1953","00552020"
"1954","00552020"
"1955","00552020"
"1956","00552020"
"1957","00552020"
"1958","00552020"
"1959","00552020"
"1960","00552020"
"1961","00552020"
"1962","00552020"
"1963","00552020"
"1964","00552020"
"1965","00552020"
"1966","00552020"
"1967","00552020"
"1968","00552020"
"1969","00552020"
"1970","00552020"
"1971","00552020"
"1972","00552020"
"1973","00552020"
"1974","00552020"
"1975","00552020"
"1976","00552020"
"1977","00552020"
"1978","00552020"
"1979","00552020"
"1980","00552020"
"1981","00552020"
"1982","00552020"
"1983","00552020"
"1984","00552020"
"1985","00552020"
"1986","00552020"
"1987","00552020"
"1988","00552020"
"1989","00552020"
"1990","00552020"
"1991","00552020"
"1992","00552020"
"1993","00552020"
"1994","00552020"
"1995","00552020"
"1996","00552020"
"1997","00552020"
"1998","00552020"
"1999","00552020"
"2000","00552020"
"2001","00552020"
"2002","00552020"
"2003","00552020"
"2004","00552020"
"2005","00552020"
"2006","00552020"
"2007","00552020"
"2008","00552020"
"2009","00552020"
"2010","00552020"
"2011","00552020"
"2012","00552020"
"2013","00552020"
"2014","00552020"
"2015","00552020"
"2016","00552020"
"2017","00552020"
"2018","00552020"
"2019","00552020"
"2020","00552020"
"2021","00552020"
"2022","00552020"
"2023","00552020"
"2016","00020131"
"2017","00020131"
"2008","00020131"
"2009","00020131"
"2010","00020131"
"2011","00020131"
"2012","00020131"
"2013","00020131"
"2014","00020131"
"2015","00020131"
"1994","00500605"
"1995","00500605"
"1996","00500605"
"1997","00500605"
"1998","00500605"
"1999","00500605"
"2000","00500605"
"2001","00500605"
"2002","00500605"
"2003","00500605"
"2004","00500605"
"2005","00500605"
"2006","00500605"
"2007","00500605"
"2008","00500605"
"2009","00500605"
"2010","00500605"
"2011","00500605"
"2012","00500605"
"2013","00500605"
"2014","00500605"
"2015","00500605"
"2016","00500605"
"2017","00500605"
"2018","00500605"
"2016","00500800"
"2018","00500800"
"2019","00500800"
"2020","00500800"
"2021","00500800"
"2022","00500800"
"2010","00500800"
"2011","00500800"
"2012","00500800"
"2013","00500800"
"2014","00500800"
"2015","00500800"
"1988","00550050"
"1989","00550050"
"1990","00550050"
"1991","00550050"
"1992","00550050"
"1993","00550050"
"1994","00550050"
"1995","00550050"
"1996","00550050"
"1997","00550050"
"1998","00550050"
"1999","00550050"
"2000","00550050"
"2001","00550050"
"2002","00550050"
"2003","00550050"
"2004","00550050"
"2005","00550050"
"2006","00550050"
"2007","00550050"
"2008","00550050"
"2009","00550050"
"2010","00550050"
"2011","00550050"
"2012","00550050"
"2013","00550050"
"2014","00550050"
"2015","00550050"
"2016","00550050"
"2017","00550050"
"2018","00550050"
"2019","00550050"
"2020","00550050"
"2021","00550050"
"2022","00550050"
"2016","00400101"
"2017","00400101"
"2018","00400101"
"2015","00400101"
"2002","00200565"
"2003","00200565"
"2004","00200565"
"2005","00200565"
"2006","00200565"
"2007","00200565"
"2008","00200565"
"2009","00200565"
"2010","00200565"
"2011","00200565"
"2012","00200565"
"2013","00200565"
"2014","00200565"
"2015","00200565"
"2016","00200565"
"2017","00200565"
"2018","00200565"
"2019","00200565"
"2020","00200565"
"2021","00200565"
"2022","00200565"
"2023","00200565"
"2024","00200565"
"2016","00500510"
"2017","00500510"
"2018","00500510"
"2019","00500510"
"2020","00500510"
"2021","00500510"
"2014","00500510"
"2015","00500510"
"2016","00100407"
"2017","00100407"
"2018","00100407"
"2019","00100407"
"2020","00100407"
"2021","00100407"
"2022","00100407"
"2015","00100407"
"2019","00200552"
"2020","00200552"
"2022","00200552"
"2023","00200552"
"2009","00200552"
"2014","00200552"
"1964","00402102"
"1965","00402102"
"1966","00402102"
"1967","00402102"
"1968","00402102"
"1969","00402102"
"1970","00402102"
"1971","00402102"
"1972","00402102"
"1973","00402102"
"1974","00402102"
"1975","00402102"
"1976","00402102"
"1977","00402102"
"1978","00402102"
"1979","00402102"
"1980","00402102"
"1981","00402102"
"1982","00402102"
"1983","00402102"
"1984","00402102"
"1985","00402102"
"1986","00402102"
"1987","00402102"
"1988","00402102"
"1989","00402102"
"1990","00402102"
"1991","00402102"
"1992","00402102"
"1993","00402102"
"1994","00402102"
"1995","00402102"
"1996","00402102"
"1997","00402102"
"1998","00402102"
"1999","00402102"
"2000","00402102"
"2001","00402102"
"2002","00402102"
"2003","00402102"
"2004","00402102"
"2005","00402102"
"2006","00402102"
"2007","00402102"
"2008","00402102"
"2009","00402102"
"2010","00402102"
"2011","00402102"
"2012","00402102"
"2013","00402102"
"2014","00402102"
"2015","00402102"
"2016","00402102"
"2017","00402102"
"2016","00450098"
"2017","00450098"
"2018","00450098"
"2019","00450098"
"2020","00450098"
"2021","00450098"
"1981","00650302"
"1982","00650302"
"1983","00650302"
"1984","00650302"
"1985","00650302"
"1986","00650302"
"1987","00650302"
"1988","00650302"
"1989","00650302"
"1990","00650302"
"1991","00650302"
"1992","00650302"
"1993","00650302"
"1994","00650302"
"1995","00650302"
"1996","00650302"
"1997","00650302"
"1998","00650302"
"1999","00650302"
"2000","00650302"
"2001","00650302"
"2002","00650302"
"2003","00650302"
"2004","00650302"
"2005","00650302"
"2006","00650302"
"2007","00650302"
"2008","00650302"
"2009","00650302"
"2010","00650302"
"2011","00650302"
"2012","00650302"
"2013","00650302"
"2014","00650302"
"2015","00650302"
"2016","00650302"
"1997","00250008"
"1998","00250008"
"1999","00250008"
"2000","00250008"
"2001","00250008"
"2002","00250008"
"2003","00250008"
"2004","00250008"
"2005","00250008"
"2006","00250008"
"2007","00250008"
"2008","00250008"
"2009","00250008"
"2010","00250008"
"2011","00250008"
"2012","00250008"
"2013","00250008"
"2014","00250008"
"2015","00250008"
"2016","00250008"
"2017","00250008"
"2018","00250008"
"2019","00250008"
"2020","00250008"
"2021","00250008"
"2022","00250008"
"2016","00550051"
"2017","00550051"
"2018","00550051"
"2019","00550051"
"2020","00550051"
"2009","00550051"
"2010","00550051"
"2011","00550051"
"2012","00550051"
"2013","00550051"
"2014","00550051"
"2015","00550051"
"2003","00550030"
"2004","00550030"
"2005","00550030"
"2006","00550030"
"2007","00550030"
"2008","00550030"
"2009","00550030"
"2010","00550030"
"2011","00550030"
"2012","00550030"
"2013","00550030"
"2014","00550030"
"2015","00550030"
"2016","00550030"
"2017","00550030"
"2018","00550030"
"2019","00550030"
"2020","00550030"
"2021","00550030"
"1999","00100103"
"1982","00250007"
"1983","00250007"
"1984","00250007"
"1985","00250007"
"1986","00250007"
"1987","00250007"
"1988","00250007"
"1989","00250007"
"1990","00250007"
"1991","00250007"
"1992","00250007"
"1993","00250007"
"1994","00250007"
"1995","00250007"
"1996","00250007"
"1997","00250007"
"1998","00250007"
"1999","00250007"
"2000","00250007"
"2001","00250007"
"2002","00250007"
"2003","00250007"
"2004","00250007"
"2005","00250007"
"2006","00250007"
"2007","00250007"
"2008","00250007"
"2009","00250007"
"2010","00250007"
"2011","00250007"
"2012","00250007"
"2013","00250007"
"2014","00250007"
"2015","00250007"
"2016","00250007"
"2017","00250007"
"2018","00250007"
"2019","00250007"
"2020","00250007"
"2021","00250007"
"2022","00250007"
"2023","00250007"
"2024","00250007"
"2016","00450171"
"2017","00450171"
"2018","00450171"
"2019","00450171"
"2003","00450171"
"2004","00450171"
"2005","00450171"
"2006","00450171"
"2007","00450171"
"2008","00450171"
"2009","00450171"
"2010","00450171"
"2011","00450171"
"2012","00450171"
"2013","00450171"
"2014","00450171"
"2015","00450171"
"2000","00100001"
"2001","00100001"
"2002","00100001"
"2003","00100001"
"2004","00100001"
"2005","00100001"
"2006","00100001"
"2007","00100001"
"2008","00100001"
"2009","00100001"
"2010","00100001"
"2011","00100001"
"2012","00100001"
"2013","00100001"
"2014","00100001"
"2015","00100001"
"2016","00100001"
"2017","00100001"
"2018","00100001"
"2019","00100001"
"2020","00100001"
"2021","00100001"
"2022","00100001"
"2023","00100001"
"2024","00100001"
"2000","00450399"
"2001","00450399"
"2002","00450399"
"2003","00450399"
"2004","00450399"
"2005","00450399"
"2006","00450399"
"2007","00450399"
"2008","00450399"
"2009","00450399"
"2010","00450399"
"2011","00450399"
"2012","00450399"
"2013","00450399"
"2014","00450399"
"2015","00450399"
"2016","00450399"
"2017","00450399"
"2018","00450399"
"2019","00450399"
"2020","00450399"
"2021","00450399"
"2022","00450399"
"2023","00450399"
"2024","00450399"
"1900","00400002"
"1901","00400002"
"1902","00400002"
"1903","00400002"
"1904","00400002"
"1905","00400002"
"1906","00400002"
"1907","00400002"
"1908","00400002"
"1909","00400002"
"1910","00400002"
"1911","00400002"
"1912","00400002"
"1913","00400002"
"1914","00400002"
"1915","00400002"
"1916","00400002"
"1917","00400002"
"1918","00400002"
"1919","00400002"
"1920","00400002"
"1922","00400002"
"1923","00400002"
"1924","00400002"
"1925","00400002"
"1926","00400002"
"1927","00400002"
"1928","00400002"
"1929","00400002"
"1930","00400002"
"1931","00400002"
"1932","00400002"
"1933","00400002"
"1934","00400002"
"1935","00400002"
"1936","00400002"
"1937","00400002"
"1938","00400002"
"1939","00400002"
"1948","00400002"
"1949","00400002"
"1950","00400002"
"1951","00400002"
"1952","00400002"
"1953","00400002"
"1954","00400002"
"1955","00400002"
"1956","00400002"
"1957","00400002"
"1958","00400002"
"1959","00400002"
"1960","00400002"
"1961","00400002"
"1962","00400002"
"1963","00400002"
"1964","00400002"
"1965","00400002"
"1966","00400002"
"1967","00400002"
"1968","00400002"
"1969","00400002"
"1970","00400002"
"1971","00400002"
"1972","00400002"
"1973","00400002"
"1974","00400002"
"1975","00400002"
"1976","00400002"
"1977","00400002"
"1978","00400002"
"1979","00400002"
"1980","00400002"
"1981","00400002"
"1982","00400002"
"1983","00400002"
"1984","00400002"
"1985","00400002"
"1986","00400002"
"1987","00400002"
"1988","00400002"
"1989","00400002"
"1990","00400002"
"1991","00400002"
"1992","00400002"
"1993","00400002"
"1994","00400002"
"1995","00400002"
"1996","00400002"
"1997","00400002"
"1998","00400002"
"1999","00400002"
"2000","00400002"
"2001","00400002"
"2002","00400002"
"2003","00400002"
"2004","00400002"
"2005","00400002"
"2006","00400002"
"2007","00400002"
"2008","00400002"
"2009","00400002"
"2010","00400002"
"2011","00400002"
"2012","00400002"
"2013","00400002"
"2014","00400002"
"2015","00400002"
"2016","00400002"
"2017","00400002"
"2018","00400002"
"2019","00400002"
"2016","00500701"
"2017","00500701"
"2018","00500701"
"2019","00500701"
"2020","00500701"
"2021","00500701"
"2022","00500701"
"2014","00500701"
"2015","00500701"
"2020","00500002"
"1950","00250011"
"1951","00250011"
"1952","00250011"
"1953","00250011"
"1954","00250011"
"1955","00250011"
"1956","00250011"
"1957","00250011"
"1958","00250011"
"1959","00250011"
"1960","00250011"
"1961","00250011"
"1962","00250011"
"1963","00250011"
"1964","00250011"
"1965","00250011"
"1966","00250011"
"1967","00250011"
"1968","00250011"
"1969","00250011"
"1970","00250011"
"1971","00250011"
"1972","00250011"
"1973","00250011"
"1974","00250011"
"1975","00250011"
"1976","00250011"
"1977","00250011"
"1978","00250011"
"1979","00250011"
"1980","00250011"
"1981","00250011"
"1982","00250011"
"1983","00250011"
"1984","00250011"
"1985","00250011"
"1986","00250011"
"1987","00250011"
"1988","00250011"
"1989","00250011"
"1990","00250011"
"1991","00250011"
"1992","00250011"
"1993","00250011"
"1994","00250011"
"1995","00250011"
"1996","00250011"
"1997","00250011"
"1998","00250011"
"1999","00250011"
"2000","00250011"
"2001","00250011"
"2002","00250011"
"2003","00250011"
"2004","00250011"
"2005","00250011"
"2006","00250011"
"2007","00250011"
"2008","00250011"
"2009","00250011"
"2010","00250011"
"2011","00250011"
"2012","00250011"
"2013","00250011"
"2014","00250011"
"2015","00250011"
"2016","00250011"
"2017","00250011"
"2018","00250011"
"2019","00250011"
"2020","00250011"
"2021","00250011"
"2022","00250011"
"2023","00250011"
"2024","00250011"
"2000","00551110"
"2001","00551110"
"2002","00551110"
"2003","00551110"
"2004","00551110"
"2005","00551110"
"2006","00551110"
"2007","00551110"
"2008","00551110"
"2009","00551110"
"2010","00551110"
"2011","00551110"
"1984","00600260"
"1985","00600260"
"1986","00600260"
"1987","00600260"
"1988","00600260"
"1989","00600260"
"1990","00600260"
"1991","00600260"
"1992","00600260"
"1993","00600260"
"1994","00600260"
"1995","00600260"
"1996","00600260"
"1997","00600260"
"1998","00600260"
"1999","00600260"
"2000","00600260"
"2001","00600260"
"2002","00600260"
"2003","00600260"
"2004","00600260"
"2005","00600260"
"2006","00600260"
"2007","00600260"
"2008","00600260"
"2009","00600260"
"2010","00600260"
"2011","00600260"
"2012","00600260"
"2013","00600260"
"2014","00600260"
"2015","00600260"
"2016","00600260"
"2017","00600260"
"2018","00600260"
"2019","00600260"
"2020","00600260"
"2021","00600260"
"2022","00600260"
"2023","00600260"
"2024","00600260"
"2016","00400306"
"2014","00400306"
"2015","00400306"
"2018","00500202"
"2003","00500202"
"2004","00500202"
"2005","00500202"
"2006","00500202"
"2007","00500202"
"2008","00500202"
"2013","00500202"
"1987","00200543"
"1988","00200543"
"1989","00200543"
"1990","00200543"
"1991","00200543"
"1992","00200543"
"1993","00200543"
"1994","00200543"
"1995","00200543"
"1996","00200543"
"1997","00200543"
"1998","00200543"
"1999","00200543"
"2000","00200543"
"2001","00200543"
"2002","00200543"
"2003","00200543"
"2004","00200543"
"2005","00200543"
"2006","00200543"
"2007","00200543"
"2008","00200543"
"2009","00200543"
"2010","00200543"
"2011","00200543"
"2012","00200543"
"2013","00200543"
"2014","00200543"
"2015","00200543"
"2016","00200543"
"2017","00200543"
"2018","00200543"
"2019","00200543"
"2020","00200543"
"2021","00200543"
"2022","00200543"
"2023","00200543"
"2000","00100102"
"2016","00600910"
"2005","00600910"
"2006","00600910"
"2007","00600910"
"2008","00600910"
"2009","00600910"
"2010","00600910"
"2011","00600910"
"2012","00600910"
"2013","00600910"
"2014","00600910"
"2015","00600910"
"2016","00601010"
"1985","00200561"
"1986","00200561"
"1987","00200561"
"1988","00200561"
"1989","00200561"
"1990","00200561"
"1991","00200561"
"1992","00200561"
"1993","00200561"
"1994","00200561"
"1995","00200561"
"1996","00200561"
"1997","00200561"
"1998","00200561"
"1999","00200561"
"2000","00200561"
"2001","00200561"
"2002","00200561"
"2003","00200561"
"2004","00200561"
"2005","00200561"
"2006","00200561"
"2007","00200561"
"2008","00200561"
"2009","00200561"
"2010","00200561"
"2011","00200561"
"2012","00200561"
"2013","00200561"
"2014","00200561"
"2015","00200561"
"2016","00200561"
"2017","00200561"
"2018","00200561"
"2019","00200561"
"2020","00200561"
"2021","00200561"
"2022","00200561"
"2023","00200561"
"2024","00200561"
"1948","00400001"
"1949","00400001"
"1950","00400001"
"1951","00400001"
"1952","00400001"
"1953","00400001"
"1954","00400001"
"1955","00400001"
"1956","00400001"
"1957","00400001"
"1958","00400001"
"1959","00400001"
"1960","00400001"
"1961","00400001"
"1962","00400001"
"1963","00400001"
"1964","00400001"
"1965","00400001"
"1966","00400001"
"1967","00400001"
"1968","00400001"
"1969","00400001"
"1970","00400001"
"1971","00400001"
"1972","00400001"
"1973","00400001"
"1974","00400001"
"1975","00400001"
"1976","00400001"
"1977","00400001"
"1978","00400001"
"1979","00400001"
"1980","00400001"
"1981","00400001"
"1982","00400001"
"1983","00400001"
"1984","00400001"
"1985","00400001"
"1986","00400001"
"1987","00400001"
"1988","00400001"
"1989","00400001"
"1990","00400001"
"1991","00400001"
"1992","00400001"
"1993","00400001"
"1994","00400001"
"1995","00400001"
"1996","00400001"
"1997","00400001"
"1998","00400001"
"1999","00400001"
"2000","00400001"
"2001","00400001"
"2002","00400001"
"2003","00400001"
"2004","00400001"
"2005","00400001"
"2006","00400001"
"2007","00400001"
"2008","00400001"
"2009","00400001"
"2010","00400001"
"2011","00400001"
"2012","00400001"
"2013","00400001"
"2014","00400001"
"2015","00400001"
"2016","00400001"
"2017","00400001"
"2018","00400001"
"2016","00400303"
"2017","00400303"
"2018","00400303"
"2019","00400303"
"2015","00400303"
"2016","00600120"
"2017","00600120"
"2018","00600120"
"2019","00600120"
"2020","00600120"
"2021","00600120"
"2022","00600120"
"2023","00600120"
"2024","00600120"
"2011","00600120"
"2012","00600120"
"2013","00600120"
"2014","00600120"
"2015","00600120"
"2016","00450451"
"2017","00450451"
"2018","00450451"
"2002","00250001"
"2003","00250001"
"2004","00250001"
"2005","00250001"
"2006","00250001"
"2007","00250001"
"2008","00250001"
"2009","00250001"
"2010","00250001"
"2011","00250001"
"2012","00250001"
"2013","00250001"
"2014","00250001"
"2015","00250001"
"2016","00250001"
"2017","00250001"
"2018","00250001"
"2019","00250001"
"2020","00250001"
"2021","00250001"
"2022","00250001"
"2023","00250001"
"2024","00250001"
"2011","00500000"
"2020","00500000"
"2015","00500000"
"2016","00502000"
"2017","00502000"
"2018","00502000"
"2019","00502000"
"2020","00502000"
"2007","00502000"
"2008","00502000"
"2009","00502000"
"2010","00502000"
"2011","00502000"
"2012","00502000"
"2013","00502000"
"2014","00502000"
"2015","00502000"
"2020","00600371"
"2021","00600371"
"2022","00600371"
"1992","00200572"
"2002","00200572"
"1997","00200572"
"2007","00200572"
"1973","00650303"
"1974","00650303"
"1975","00650303"
"1976","00650303"
"1977","00650303"
"1978","00650303"
"1979","00650303"
"1980","00650303"
"1981","00650303"
"1982","00650303"
"1983","00650303"
"1984","00650303"
"1985","00650303"
"1986","00650303"
"1987","00650303"
"1988","00650303"
"1989","00650303"
"1990","00650303"
"1991","00650303"
"1992","00650303"
"1993","00650303"
"1994","00650303"
"1995","00650303"
"1996","00650303"
"1997","00650303"
"1998","00650303"
"1999","00650303"
"2000","00650303"
"2001","00650303"
"2002","00650303"
"2003","00650303"
"2004","00650303"
"2005","00650303"
"2006","00650303"
"2007","00650303"
"2008","00650303"
"2009","00650303"
"2010","00650303"
"2011","00650303"
"2012","00650303"
"2013","00650303"
"2014","00650303"
"2015","00650303"
"2016","00650303"
"2017","00550040"
"2018","00550040"
"2007","00550040"
"2009","00550040"
"2010","00550040"
"2013","00550040"
"2014","00550040"
"2015","00550040"
"2016","00500609"
"2014","00500609"
"2015","00500609"
"2019","00450396"
"1997","00200351"
"1998","00200351"
"1999","00200351"
"2000","00200351"
"2001","00200351"
"2002","00200351"
"2003","00200351"
"2004","00200351"
"2005","00200351"
"2006","00200351"
"2007","00200351"
"2008","00200351"
"2009","00200351"
"2010","00200351"
"2011","00200351"
"2012","00200351"
"2013","00200351"
"2014","00200351"
"2015","00200351"
"2016","00200351"
"2017","00200351"
"2017","00650408"
"2018","00650408"
"2019","00650408"
"2020","00650408"
"2021","00650408"
"2016","00250009"
"2017","00250009"
"2018","00250009"
"2019","00250009"
"2020","00250009"
"2021","00250009"
"2022","00250009"
"2006","00250009"
"2007","00250009"
"2008","00250009"
"2009","00250009"
"2010","00250009"
"2011","00250009"
"2012","00250009"
"2013","00250009"
"2014","00250009"
"2015","00250009"
"2009","00600640"
"2014","00600640"
"2019","00200555"
"2020","00200555"
"2022","00200555"
"2023","00200555"
"1954","00200523"
"1955","00200523"
"1956","00200523"
"1957","00200523"
"1958","00200523"
"1959","00200523"
"1960","00200523"
"1961","00200523"
"1962","00200523"
