"@code","@name","@level","@unit","id","meta_name","@parentCode"
"110","就業者数","","人","tab","表章項目",""
"100","建設業就業者数","1","","cat01","就業者","nan"
"110","従業者数","2","","cat01","就業者","100"
"120","常雇等","3","","cat01","就業者","110"
"130","役員","4","","cat01","就業者","120"
"140","事務等","4","","cat01","就業者","120"
"150","技術者","4","","cat01","就業者","120"
"160","現場労働者","4","","cat01","就業者","120"
"170","臨時・日雇","3","","cat01","就業者","110"
"180","事務等","4","","cat01","就業者","170"
"190","技術者","4","","cat01","就業者","170"
"200","現場労働者","4","","cat01","就業者","170"
"210","労務外注労働者数","2","","cat01","就業者","100"
"220","うち安定的な者","3","","cat01","就業者","210"
"230","建設業以外の部門の常雇数","1","","cat01","就業者","nan"
"240","業者全体の常雇等数","1","","cat01","就業者","nan"
"100","計","1","","cat02","業種1","nan"
"110","１．総合工事業","2","","cat02","業種1","100"
"200","２．職別工事業","2","","cat02","業種1","100"
"370","３．設備工事業","2","","cat02","業種1","100"
"100","計","1","","cat03","完成工事高規模","nan"
"110","～100万円未満","2","","cat03","完成工事高規模","100"
"120","100万～1,000万円未満","2","","cat03","完成工事高規模","100"
"130","1,000万～2,000万円未満","2","","cat03","完成工事高規模","100"
"140","2,000万～5,000万円未満","2","","cat03","完成工事高規模","100"
"150","5,000万～1億円未満","2","","cat03","完成工事高規模","100"
"160","1億～5億円未満","2","","cat03","完成工事高規模","100"
"170","5億～20億円未満","2","","cat03","完成工事高規模","100"
"180","20億～50億円未満","2","","cat03","完成工事高規模","100"
"190","50億～500億円未満","2","","cat03","完成工事高規模","100"
"200","500億円以上","2","","cat03","完成工事高規模","100"
"100","計","1","","cat04","業の許可形態・経営組織","nan"
"110","大臣許可業者","2","","cat04","業の許可形態・経営組織","100"
"140","知事許可業者","2","","cat04","業の許可形態・経営組織","100"
"2022100000","2022年度","1","","time","年度次",""
"2021100000","2021年度","1","","time","年度次",""
"2020100000","2020年度","1","","time","年度次",""
